batch_id,tweet_in_batch,tweet_id,tweet,condition,R1_response,R2_response,R3_response,R1_label,R2_label,R3_label,R1_score,R2_score,R3_score
187,4,6,@###### @###### fight me you fucking obese niglet,B_conf,"HS90, OL100","HS90, OL100","HS95, OL100","['HS', 'OL']","['HS', 'OL']","['HS', 'OL']","['90', '100']","['90', '100']","['95', '100']"
187,4,6,@###### @###### fight me you fucking obese niglet,C.HS_conf,HS95,HS90,HS90,['HS'],['HS'],['HS'],['95'],['90'],['90']
187,4,6,@###### @###### fight me you fucking obese niglet,C.OL_conf,OL95,OL95,OL95,['OL'],['OL'],['OL'],['95'],['95'],['95']
219,5,7,Really. 3 hours to find paper work is retarded. Tarrant County Courts suck. #wasteoftime,A_conf,"OL90, HS30","OL90, NH70","OL90, HS30","['OL', 'HS']","['OL', 'NH']","['OL', 'HS']","['90', '30']","['90', '70']","['90', '30']"
219,5,7,Really. 3 hours to find paper work is retarded. Tarrant County Courts suck. #wasteoftime,B_conf,"NH70, OL90","NH70, OL90","NH70, OL90","['NH', 'OL']","['NH', 'OL']","['NH', 'OL']","['70', '90']","['70', '90']","['70', '90']"
219,5,7,Really. 3 hours to find paper work is retarded. Tarrant County Courts suck. #wasteoftime,C.HS_conf,NH70,NH70,NH70,['NH'],['NH'],['NH'],['70'],['70'],['70']
219,5,7,Really. 3 hours to find paper work is retarded. Tarrant County Courts suck. #wasteoftime,C.OL_conf,OL80,OL90,OL90,['OL'],['OL'],['OL'],['80'],['90'],['90']
29,6,8,' You Deserve x August Alsina &#1043358;&#1043358; Im dedicating that to all my old side hoes &#1041204;&#1041204;&#1041204;&#1041204;&#1041210;&#1041210;&#1041210;&#1041210;&#1041210;&#1043359; .,A_conf,"OL90, NH95","OL90, NH70","OL90, NH90","['OL', 'NH']","['OL', 'NH']","['OL', 'NH']","['90', '95']","['90', '70']","['90', '90']"
29,6,8,' You Deserve x August Alsina &#1043358;&#1043358; Im dedicating that to all my old side hoes &#1041204;&#1041204;&#1041204;&#1041204;&#1041210;&#1041210;&#1041210;&#1041210;&#1041210;&#1043359; .,B_conf,"NH90, OL95","NH90, OL95","NH90, OL100","['NH', 'OL']","['NH', 'OL']","['NH', 'OL']","['90', '95']","['90', '95']","['90', '100']"
29,6,8,' You Deserve x August Alsina &#1043358;&#1043358; Im dedicating that to all my old side hoes &#1041204;&#1041204;&#1041204;&#1041204;&#1041210;&#1041210;&#1041210;&#1041210;&#1041210;&#1043359; .,C.HS_conf,NH70,NH70,NH70,['NH'],['NH'],['NH'],['70'],['70'],['70']
29,6,8,' You Deserve x August Alsina &#1043358;&#1043358; Im dedicating that to all my old side hoes &#1041204;&#1041204;&#1041204;&#1041204;&#1041210;&#1041210;&#1041210;&#1041210;&#1041210;&#1043359; .,C.OL_conf,OL90,OL90,OL90,['OL'],['OL'],['OL'],['90'],['90'],['90']
423,3,9,@###### @###### trash,A_conf,"OL90, NH95","OL90, NH95","OL90, NH95","['OL', 'NH']","['OL', 'NH']","['OL', 'NH']","['90', '95']","['90', '95']","['90', '95']"
423,3,9,@###### @###### trash,B_conf,"NH90, OL100","NH90, OL95","NH90, OL100","['NH', 'OL']","['NH', 'OL']","['NH', 'OL']","['90', '100']","['90', '95']","['90', '100']"
423,3,9,@###### @###### trash,C.HS_conf,NH90,NH90,NH90,['NH'],['NH'],['NH'],['90'],['90'],['90']
423,3,9,@###### @###### trash,C.OL_conf,OL90,OL90,OL90,['OL'],['OL'],['OL'],['90'],['90'],['90']
381,4,10,@###### I hate that nigger.,A_conf,"OL100, HS100","OL100, HS100","OL100, HS100","['OL', 'HS']","['OL', 'HS']","['OL', 'HS']","['100', '100']","['100', '100']","['100', '100']"
381,4,10,@###### I hate that nigger.,B_conf,"HS95, OL100","HS95, OL100","HS95, OL100","['HS', 'OL']","['HS', 'OL']","['HS', 'OL']","['95', '100']","['95', '100']","['95', '100']"
381,4,10,@###### I hate that nigger.,C.HS_conf,HS95,HS95,HS95,['HS'],['HS'],['HS'],['95'],['95'],['95']
381,4,10,@###### I hate that nigger.,C.OL_conf,OL95,OL95,OL95,['OL'],['OL'],['OL'],['95'],['95'],['95']
497,5,11,Panda Express is so trash but I wanted Chinese and didn't feel like gettin out the car,A_conf,"OL80, NH90","OL90, NH95","OL90, NH95","['OL', 'NH']","['OL', 'NH']","['OL', 'NH']","['80', '90']","['90', '95']","['90', '95']"
497,5,11,Panda Express is so trash but I wanted Chinese and didn't feel like gettin out the car,B_conf,"NH90, OL80","NH90, OL80","NH90, OL80","['NH', 'OL']","['NH', 'OL']","['NH', 'OL']","['90', '80']","['90', '80']","['90', '80']"
497,5,11,Panda Express is so trash but I wanted Chinese and didn't feel like gettin out the car,C.HS_conf,NH70,NH90,NH70,['NH'],['NH'],['NH'],['70'],['90'],['70']
497,5,11,Panda Express is so trash but I wanted Chinese and didn't feel like gettin out the car,C.OL_conf,OL90,OL90,OL90,['OL'],['OL'],['OL'],['90'],['90'],['90']
360,2,12,"RT @###### Perfect vision....Me, my niggs, mas hoes, mas clicquot, mas dom p, mas moet, ""my type of party"" blasting out a Cali condo",A_conf,"OL100, HS90","OL100, HS70","OL95, HS40","['OL', 'HS']","['OL', 'HS']","['OL', 'HS']","['100', '90']","['100', '70']","['95', '40']"
360,2,12,"RT @###### Perfect vision....Me, my niggs, mas hoes, mas clicquot, mas dom p, mas moet, ""my type of party"" blasting out a Cali condo",B_conf,"HS90, OL100","HS90, OL95","HS90, OL100","['HS', 'OL']","['HS', 'OL']","['HS', 'OL']","['90', '100']","['90', '95']","['90', '100']"
360,2,12,"RT @###### Perfect vision....Me, my niggs, mas hoes, mas clicquot, mas dom p, mas moet, ""my type of party"" blasting out a Cali condo",C.HS_conf,NH70,NH60,NH70,['NH'],['NH'],['NH'],['70'],['60'],['70']
360,2,12,"RT @###### Perfect vision....Me, my niggs, mas hoes, mas clicquot, mas dom p, mas moet, ""my type of party"" blasting out a Cali condo",C.OL_conf,OL90,OL90,OL90,['OL'],['OL'],['OL'],['90'],['90'],['90']
217,5,13,LMFAOOOOO BYE &#8220;@###### American sports trash. Soccer and Hockey the best sports.&#8221;,A_conf,"OL90, NH95","OL90, NH95","OL90, NH95","['OL', 'NH']","['OL', 'NH']","['OL', 'NH']","['90', '95']","['90', '95']","['90', '95']"
217,5,13,LMFAOOOOO BYE &#8220;@###### American sports trash. Soccer and Hockey the best sports.&#8221;,B_conf,"NH90, OL80","NH90, OL95","NH95, OL70","['NH', 'OL']","['NH', 'OL']","['NH', 'OL']","['90', '80']","['90', '95']","['95', '70']"
217,5,13,LMFAOOOOO BYE &#8220;@###### American sports trash. Soccer and Hockey the best sports.&#8221;,C.HS_conf,NH90,NH90,NH90,['NH'],['NH'],['NH'],['90'],['90'],['90']
217,5,13,LMFAOOOOO BYE &#8220;@###### American sports trash. Soccer and Hockey the best sports.&#8221;,C.OL_conf,NO90,NO90,NO90,['NO'],['NO'],['NO'],['90'],['90'],['90']
382,6,14,@###### dude was a bitch nigga and took off running,A_conf,"OL95, HS85","OL95, HS80","OL95, HS85","['OL', 'HS']","['OL', 'HS']","['OL', 'HS']","['95', '85']","['95', '80']","['95', '85']"
382,6,14,@###### dude was a bitch nigga and took off running,B_conf,"NH70, OL100","NH70, OL90","NH90, OL100","['NH', 'OL']","['NH', 'OL']","['NH', 'OL']","['70', '100']","['70', '90']","['90', '100']"
382,6,14,@###### dude was a bitch nigga and took off running,C.HS_conf,NH70,NH70,NH70,['NH'],['NH'],['NH'],['70'],['70'],['70']
382,6,14,@###### dude was a bitch nigga and took off running,C.OL_conf,OL90,OL90,OL90,['OL'],['OL'],['OL'],['90'],['90'],['90']
99,1,15,@###### brooooo I miss you bitch,A_conf,"OL90, NH95","OL90, NH90","OL90, NH95","['OL', 'NH']","['OL', 'NH']","['OL', 'NH']","['90', '95']","['90', '90']","['90', '95']"
99,1,15,@###### brooooo I miss you bitch,B_conf,"NH90, OL95","NH90, OL95","NH90, OL95","['NH', 'OL']","['NH', 'OL']","['NH', 'OL']","['90', '95']","['90', '95']","['90', '95']"
99,1,15,@###### brooooo I miss you bitch,C.HS_conf,NH90,NH70,NH90,['NH'],['NH'],['NH'],['90'],['70'],['90']
99,1,15,@###### brooooo I miss you bitch,C.OL_conf,OL90,OL90,OL90,['OL'],['OL'],['OL'],['90'],['90'],['90']
349,2,16,Tattoos are about expression not meaning. One mans trash is another mans treasure &#128161;&#128176;,A_conf,"NO90, NH95","NO90, NH95","NO90, NH95","['NO', 'NH']","['NO', 'NH']","['NO', 'NH']","['90', '95']","['90', '95']","['90', '95']"
349,2,16,Tattoos are about expression not meaning. One mans trash is another mans treasure &#128161;&#128176;,B_conf,"NH95, NO95","NH95, NO95","NH95, NO90","['NH', 'NO']","['NH', 'NO']","['NH', 'NO']","['95', '95']","['95', '95']","['95', '90']"
349,2,16,Tattoos are about expression not meaning. One mans trash is another mans treasure &#128161;&#128176;,C.HS_conf,NH95,NH95,NH95,['NH'],['NH'],['NH'],['95'],['95'],['95']
349,2,16,Tattoos are about expression not meaning. One mans trash is another mans treasure &#128161;&#128176;,C.OL_conf,NO100,NO100,NO90,['NO'],['NO'],['NO'],['100'],['100'],['90']
451,3,17,"RT @###### Well, Maryland is just a bunch of hateful rednecks, anyway.",A_conf,"OL90, HS70","OL90, HS70","OL90, HS70","['OL', 'HS']","['OL', 'HS']","['OL', 'HS']","['90', '70']","['90', '70']","['90', '70']"
451,3,17,"RT @###### Well, Maryland is just a bunch of hateful rednecks, anyway.",B_conf,"NH90, OL85","NH70, OL90","NH70, OL90","['NH', 'OL']","['NH', 'OL']","['NH', 'OL']","['90', '85']","['70', '90']","['70', '90']"
451,3,17,"RT @###### Well, Maryland is just a bunch of hateful rednecks, anyway.",C.HS_conf,NH70,NH70,NH70,['NH'],['NH'],['NH'],['70'],['70'],['70']
451,3,17,"RT @###### Well, Maryland is just a bunch of hateful rednecks, anyway.",C.OL_conf,OL90,OL90,OL90,['OL'],['OL'],['OL'],['90'],['90'],['90']
244,1,18,@###### @###### haha you playin nigga I fuck bitches make money and smoke that straight og kush,A_conf,"OL95, HS80","OL95, HS70","OL95, HS70","['OL', 'HS']","['OL', 'HS']","['OL', 'HS']","['95', '80']","['95', '70']","['95', '70']"
244,1,18,@###### @###### haha you playin nigga I fuck bitches make money and smoke that straight og kush,B_conf,"HS90, OL100","HS90, OL100","HS90, OL100","['HS', 'OL']","['HS', 'OL']","['HS', 'OL']","['90', '100']","['90', '100']","['90', '100']"
244,1,18,@###### @###### haha you playin nigga I fuck bitches make money and smoke that straight og kush,C.HS_conf,NH70,NH70,NH70,['NH'],['NH'],['NH'],['70'],['70'],['70']
244,1,18,@###### @###### haha you playin nigga I fuck bitches make money and smoke that straight og kush,C.OL_conf,OL95,OL90,OL90,['OL'],['OL'],['OL'],['95'],['90'],['90']
270,1,19,@###### whats your youtube channel then faggot,A_conf,"OL95, HS90","OL100, HS90","OL100, HS90","['OL', 'HS']","['OL', 'HS']","['OL', 'HS']","['95', '90']","['100', '90']","['100', '90']"
270,1,19,@###### whats your youtube channel then faggot,B_conf,"HS95, OL100","HS90, OL100","HS90, OL100","['HS', 'OL']","['HS', 'OL']","['HS', 'OL']","['95', '100']","['90', '100']","['90', '100']"
270,1,19,@###### whats your youtube channel then faggot,C.HS_conf,HS95,HS95,HS95,['HS'],['HS'],['HS'],['95'],['95'],['95']
270,1,19,@###### whats your youtube channel then faggot,C.OL_conf,OL95,OL95,OL95,['OL'],['OL'],['OL'],['95'],['95'],['95']
372,6,20,Ayyyyy I'm sipping on a free slurpee and seeing The Front Bottoms tonight. I'm a happy clam.,A_conf,"NO90, NH95","NO90, NH95","NO100, NH100","['NO', 'NH']","['NO', 'NH']","['NO', 'NH']","['90', '95']","['90', '95']","['100', '100']"
372,6,20,Ayyyyy I'm sipping on a free slurpee and seeing The Front Bottoms tonight. I'm a happy clam.,B_conf,"NH100, NO100","NH95, NO90","NH95, NO90","['NH', 'NO']","['NH', 'NO']","['NH', 'NO']","['100', '100']","['95', '90']","['95', '90']"
372,6,20,Ayyyyy I'm sipping on a free slurpee and seeing The Front Bottoms tonight. I'm a happy clam.,C.HS_conf,NH95,NH95,NH100,['NH'],['NH'],['NH'],['95'],['95'],['100']
372,6,20,Ayyyyy I'm sipping on a free slurpee and seeing The Front Bottoms tonight. I'm a happy clam.,C.OL_conf,NO100,NO100,NO100,['NO'],['NO'],['NO'],['100'],['100'],['100']
499,4,21,"You ever randomly woke up and ya bitch standing over you, just staring.",A_conf,"OL90, NH95","OL90, NH95","OL90, NH95","['OL', 'NH']","['OL', 'NH']","['OL', 'NH']","['90', '95']","['90', '95']","['90', '95']"
499,4,21,"You ever randomly woke up and ya bitch standing over you, just staring.",B_conf,"NH90, OL100","NH90, OL95","NH90, OL95","['NH', 'OL']","['NH', 'OL']","['NH', 'OL']","['90', '100']","['90', '95']","['90', '95']"
499,4,21,"You ever randomly woke up and ya bitch standing over you, just staring.",C.HS_conf,NH90,NH90,NH90,['NH'],['NH'],['NH'],['90'],['90'],['90']
499,4,21,"You ever randomly woke up and ya bitch standing over you, just staring.",C.OL_conf,OL90,OL90,OL90,['OL'],['OL'],['OL'],['90'],['90'],['90']
69,6,22,RT @###### First day of spring break: ate half a pan of brownies &amp; watched 6 episodes of Parks and Rec with @###### &amp; @######,A_conf,"NO100, NH100","NO100, NH100","NO100, NH100","['NO', 'NH']","['NO', 'NH']","['NO', 'NH']","['100', '100']","['100', '100']","['100', '100']"
69,6,22,RT @###### First day of spring break: ate half a pan of brownies &amp; watched 6 episodes of Parks and Rec with @###### &amp; @######,B_conf,"NH100, NO100","NH100, NO100","NH100, NO100","['NH', 'NO']","['NH', 'NO']","['NH', 'NO']","['100', '100']","['100', '100']","['100', '100']"
69,6,22,RT @###### First day of spring break: ate half a pan of brownies &amp; watched 6 episodes of Parks and Rec with @###### &amp; @######,C.HS_conf,NH100,NH100,NH99,['NH'],['NH'],['NH'],['100'],['100'],['99']
69,6,22,RT @###### First day of spring break: ate half a pan of brownies &amp; watched 6 episodes of Parks and Rec with @###### &amp; @######,C.OL_conf,NO100,NO100,NO100,['NO'],['NO'],['NO'],['100'],['100'],['100']
357,1,23,yea so about @###### 's new friend.. all my friends kno they're only allowed one cute darkie friend n that's me! lol,A_conf,"OL95, HS90","OL100, HS90","OL95, HS90","['OL', 'HS']","['OL', 'HS']","['OL', 'HS']","['95', '90']","['100', '90']","['95', '90']"
357,1,23,yea so about @###### 's new friend.. all my friends kno they're only allowed one cute darkie friend n that's me! lol,B_conf,"HS90, OL100","HS95, OL100","HS90, OL100","['HS', 'OL']","['HS', 'OL']","['HS', 'OL']","['90', '100']","['95', '100']","['90', '100']"
357,1,23,yea so about @###### 's new friend.. all my friends kno they're only allowed one cute darkie friend n that's me! lol,C.HS_conf,HS90,HS90,HS90,['HS'],['HS'],['HS'],['90'],['90'],['90']
357,1,23,yea so about @###### 's new friend.. all my friends kno they're only allowed one cute darkie friend n that's me! lol,C.OL_conf,OL90,OL90,OL90,['OL'],['OL'],['OL'],['90'],['90'],['90']
178,2,24,I think I found a normal roommate again! Praise be to Jesus! These current ones are about to get their throats slit in their sleep!,A_conf,"OL90, HS85","OL90, HS85","OL90, HS80","['OL', 'HS']","['OL', 'HS']","['OL', 'HS']","['90', '85']","['90', '85']","['90', '80']"
178,2,24,I think I found a normal roommate again! Praise be to Jesus! These current ones are about to get their throats slit in their sleep!,B_conf,"NH90, OL95","NH90, OL95","NH90, OL95","['NH', 'OL']","['NH', 'OL']","['NH', 'OL']","['90', '95']","['90', '95']","['90', '95']"
178,2,24,I think I found a normal roommate again! Praise be to Jesus! These current ones are about to get their throats slit in their sleep!,C.HS_conf,NH70,NH70,NH70,['NH'],['NH'],['NH'],['70'],['70'],['70']
178,2,24,I think I found a normal roommate again! Praise be to Jesus! These current ones are about to get their throats slit in their sleep!,C.OL_conf,OL90,OL90,OL90,['OL'],['OL'],['OL'],['90'],['90'],['90']
114,3,25,@###### shut up you stupid bitch,A_conf,"OL100, HS20","OL100, HS20","OL100, HS60","['OL', 'HS']","['OL', 'HS']","['OL', 'HS']","['100', '20']","['100', '20']","['100', '60']"
114,3,25,@###### shut up you stupid bitch,B_conf,"NH60, OL100","NH70, OL100","NH70, OL100","['NH', 'OL']","['NH', 'OL']","['NH', 'OL']","['60', '100']","['70', '100']","['70', '100']"
114,3,25,@###### shut up you stupid bitch,C.HS_conf,NH70,NH70,NH70,['NH'],['NH'],['NH'],['70'],['70'],['70']
114,3,25,@###### shut up you stupid bitch,C.OL_conf,OL95,OL95,OL95,['OL'],['OL'],['OL'],['95'],['95'],['95']
22,4,26,@###### I don't hate that he blew up from 3005 like a hipster but I hate the faggots who say they love his music based off his worst +,A_conf,"OL100, HS90","OL100, HS90","OL100, HS90","['OL', 'HS']","['OL', 'HS']","['OL', 'HS']","['100', '90']","['100', '90']","['100', '90']"
22,4,26,@###### I don't hate that he blew up from 3005 like a hipster but I hate the faggots who say they love his music based off his worst +,B_conf,"HS90, OL95","HS90, OL100","HS90, OL95","['HS', 'OL']","['HS', 'OL']","['HS', 'OL']","['90', '95']","['90', '100']","['90', '95']"
22,4,26,@###### I don't hate that he blew up from 3005 like a hipster but I hate the faggots who say they love his music based off his worst +,C.HS_conf,NH70,HS90,HS90,['NH'],['HS'],['HS'],['70'],['90'],['90']
22,4,26,@###### I don't hate that he blew up from 3005 like a hipster but I hate the faggots who say they love his music based off his worst +,C.OL_conf,OL90,OL90,OL90,['OL'],['OL'],['OL'],['90'],['90'],['90']
195,3,27,"RT @###### Joey Badass said ""Traded in my Nikes for a new mic, I guess it's safe to say he sold his soles for a new life""",A_conf,"OL90, NH95","OL30, NH90","OL90, NH95","['OL', 'NH']","['OL', 'NH']","['OL', 'NH']","['90', '95']","['30', '90']","['90', '95']"
195,3,27,"RT @###### Joey Badass said ""Traded in my Nikes for a new mic, I guess it's safe to say he sold his soles for a new life""",B_conf,"NH90, NO80","NH90, NO80","NH90, NO70","['NH', 'NO']","['NH', 'NO']","['NH', 'NO']","['90', '80']","['90', '80']","['90', '70']"
195,3,27,"RT @###### Joey Badass said ""Traded in my Nikes for a new mic, I guess it's safe to say he sold his soles for a new life""",C.HS_conf,NH90,NH90,NH90,['NH'],['NH'],['NH'],['90'],['90'],['90']
195,3,27,"RT @###### Joey Badass said ""Traded in my Nikes for a new mic, I guess it's safe to say he sold his soles for a new life""",C.OL_conf,NO90,NO90,NO100,['NO'],['NO'],['NO'],['90'],['90'],['100']
143,6,28,RT @###### Fuck the Islamic State!! We will kill those cunts&#127468;&#127463;,A_conf,"OL100, HS90","OL100, HS90","OL100, HS90","['OL', 'HS']","['OL', 'HS']","['OL', 'HS']","['100', '90']","['100', '90']","['100', '90']"
143,6,28,RT @###### Fuck the Islamic State!! We will kill those cunts&#127468;&#127463;,B_conf,"HS95, OL100","HS90, OL100","HS90, OL100","['HS', 'OL']","['HS', 'OL']","['HS', 'OL']","['95', '100']","['90', '100']","['90', '100']"
143,6,28,RT @###### Fuck the Islamic State!! We will kill those cunts&#127468;&#127463;,C.HS_conf,NH70,NH70,NH70,['NH'],['NH'],['NH'],['70'],['70'],['70']
143,6,28,RT @###### Fuck the Islamic State!! We will kill those cunts&#127468;&#127463;,C.OL_conf,OL90,OL90,OL90,['OL'],['OL'],['OL'],['90'],['90'],['90']
51,3,29,@###### lol bitch yo display name,A_conf,"OL90, NH95","OL95, NH90","OL90, NH90","['OL', 'NH']","['OL', 'NH']","['OL', 'NH']","['90', '95']","['95', '90']","['90', '90']"
51,3,29,@###### lol bitch yo display name,B_conf,"NH90, OL95","NH90, OL100","NH90, OL95","['NH', 'OL']","['NH', 'OL']","['NH', 'OL']","['90', '95']","['90', '100']","['90', '95']"
51,3,29,@###### lol bitch yo display name,C.HS_conf,NH70,NH70,NH70,['NH'],['NH'],['NH'],['70'],['70'],['70']
51,3,29,@###### lol bitch yo display name,C.OL_conf,OL90,OL90,OL90,['OL'],['OL'],['OL'],['90'],['90'],['90']
283,4,30,They took it there bro you know I'm civil. RT @###### @###### wait a minute! Lol. Don't get ghetto V!,A_conf,"OL60, NH90","OL70, NH90","OL90, NH95","['OL', 'NH']","['OL', 'NH']","['OL', 'NH']","['60', '90']","['70', '90']","['90', '95']"
283,4,30,They took it there bro you know I'm civil. RT @###### @###### wait a minute! Lol. Don't get ghetto V!,B_conf,"NH90, OL80","NH90, OL70","NH90, OL70","['NH', 'OL']","['NH', 'OL']","['NH', 'OL']","['90', '80']","['90', '70']","['90', '70']"
283,4,30,They took it there bro you know I'm civil. RT @###### @###### wait a minute! Lol. Don't get ghetto V!,C.HS_conf,NH90,NH90,NH90,['NH'],['NH'],['NH'],['90'],['90'],['90']
283,4,30,They took it there bro you know I'm civil. RT @###### @###### wait a minute! Lol. Don't get ghetto V!,C.OL_conf,NO90,NO90,NO90,['NO'],['NO'],['NO'],['90'],['90'],['90']
331,3,31,I need to chat with @###### . Where dat nicca at? Lol,A_conf,"OL90, NH70","OL90, NH70","OL90, NH85","['OL', 'NH']","['OL', 'NH']","['OL', 'NH']","['90', '70']","['90', '70']","['90', '85']"
331,3,31,I need to chat with @###### . Where dat nicca at? Lol,B_conf,"NH90, OL100","NH90, OL95","NH90, OL95","['NH', 'OL']","['NH', 'OL']","['NH', 'OL']","['90', '100']","['90', '95']","['90', '95']"
331,3,31,I need to chat with @###### . Where dat nicca at? Lol,C.HS_conf,NH70,NH70,NH70,['NH'],['NH'],['NH'],['70'],['70'],['70']
331,3,31,I need to chat with @###### . Where dat nicca at? Lol,C.OL_conf,OL90,OL90,OL90,['OL'],['OL'],['OL'],['90'],['90'],['90']
444,2,32,I hate that when I have assigned seats they sit me by the most annoying bitches in the whole class.,A_conf,"OL90, NH85","OL90, NH95","OL95, NH90","['OL', 'NH']","['OL', 'NH']","['OL', 'NH']","['90', '85']","['90', '95']","['95', '90']"
444,2,32,I hate that when I have assigned seats they sit me by the most annoying bitches in the whole class.,B_conf,"NH90, OL95","NH90, OL95","NH90, OL95","['NH', 'OL']","['NH', 'OL']","['NH', 'OL']","['90', '95']","['90', '95']","['90', '95']"
444,2,32,I hate that when I have assigned seats they sit me by the most annoying bitches in the whole class.,C.HS_conf,NH70,NH70,NH70,['NH'],['NH'],['NH'],['70'],['70'],['70']
444,2,32,I hate that when I have assigned seats they sit me by the most annoying bitches in the whole class.,C.OL_conf,OL90,OL90,OL90,['OL'],['OL'],['OL'],['90'],['90'],['90']
316,6,33,@###### #Sequester Den the fat colored girl chased me down day street while she swingin da table wit one arm... I wants my pay!!!,A_conf,"OL95, HS80","OL95, HS70","OL90, HS85","['OL', 'HS']","['OL', 'HS']","['OL', 'HS']","['95', '80']","['95', '70']","['90', '85']"
316,6,33,@###### #Sequester Den the fat colored girl chased me down day street while she swingin da table wit one arm... I wants my pay!!!,B_conf,"NH90, OL95","NH90, OL95","NH90, OL95","['NH', 'OL']","['NH', 'OL']","['NH', 'OL']","['90', '95']","['90', '95']","['90', '95']"
316,6,33,@###### #Sequester Den the fat colored girl chased me down day street while she swingin da table wit one arm... I wants my pay!!!,C.HS_conf,NH70,NH70,NH70,['NH'],['NH'],['NH'],['70'],['70'],['70']
316,6,33,@###### #Sequester Den the fat colored girl chased me down day street while she swingin da table wit one arm... I wants my pay!!!,C.OL_conf,OL90,OL90,OL90,['OL'],['OL'],['OL'],['90'],['90'],['90']
