batch_id,tweet_in_batch,tweet_id,tweet,condition,R1_response,R2_response,R3_response,R1_label,R2_label,R3_label,R1_Token1,R1_Token2,R1_Token3,R2_Token1,R2_Token2,R2_Token3,R3_Token1,R3_Token2,R3_Token3
1,3,2098,@###### @###### there isn't a green one either. There's red and yellow in that pic...,C.HS,NH,NH,NH,NH,NH,NH,"NH     0.000 
N     -20.500
nh    -23.125
Nh    -23.625
 NH   -23.750
dtype: float64",",      0.000 
 NO   -22.000
 ,    -23.250
.     -23.500
،     -25.125
dtype: float64",,"NH     0.000 
N     -20.500
nh    -23.125
Nh    -23.625
 NH   -23.750
dtype: float64",",      0.000 
 NO   -22.000
 ,    -23.250
.     -23.500
،     -25.125
dtype: float64",,"NH     0.000 
N     -19.000
nh    -21.750
 NH   -21.750
Nh    -21.875
dtype: float64",",      0.000 
 NO   -22.000
 ,    -23.250
.     -23.500
،     -25.125
dtype: float64",
1,3,2098,@###### @###### there isn't a green one either. There's red and yellow in that pic...,C.OL,NO,NO,NO,NO,NO,NO,"NO     0.000 
No    -18.500
no    -19.125
_NO   -20.625
 NO   -21.875
dtype: float64",",      0.000 
 NO   -22.000
 ,    -23.250
.     -23.500
،     -25.125
dtype: float64",,"NO     0.000 
No    -18.500
no    -19.125
_NO   -20.625
 NO   -21.875
dtype: float64",",      0.000 
 NO   -22.000
 ,    -23.250
.     -23.500
،     -25.125
dtype: float64",,"NO     0.000 
No    -19.250
no    -19.750
_NO   -21.375
 NO   -22.000
dtype: float64",",      0.000 
 NO   -22.000
 ,    -23.250
.     -23.500
،     -25.125
dtype: float64",
1,4,2349,The only thing about niccas is they be followers smh .. Be ya self everyone else is taken!!,A,"OL, NH","OL, NH","OL, NH","OL, NH","OL, NH","OL, NH","OL   -0.000125 
NO   -9.000125 
OH   -14.000125
NH   -14.000125
NL   -17.500126
dtype: float64",",     -1.936126e-07
,N    -1.650000e+01
.     -2.000000e+01
 ,    -2.112500e+01
 NH   -2.112500e+01
dtype: float64"," NH     0.00 
 NO    -20.75
 N     -22.25
NH     -22.50
 NHS   -23.00
dtype: float64","OL   -0.000125 
NO   -9.000125 
OH   -14.000125
NH   -14.000125
NL   -17.500126
dtype: float64",",     -1.936126e-07
,N    -1.650000e+01
.     -2.000000e+01
 ,    -2.112500e+01
 NH   -2.112500e+01
dtype: float64"," NH     0.00 
 NO    -20.75
 N     -22.25
NH     -22.50
 NHS   -23.00
dtype: float64","OL   -0.000022 
NO   -10.750022
OH   -15.250022
NH   -16.000021
NL   -19.750021
dtype: float64",",     -1.936126e-07
,N    -1.575000e+01
.     -2.062500e+01
/N    -2.087500e+01
 NH   -2.087500e+01
dtype: float64"," NH    0.00 
 NO   -20.50
NH    -24.25
 N    -25.00
 NM   -25.25
dtype: float64"
1,4,2349,The only thing about niccas is they be followers smh .. Be ya self everyone else is taken!!,B,"NH, OL","NH, OL","NH, OL","NH, OL","NH, OL","NH, OL","NH    0.00 
HS   -17.75
NO   -21.00
nh   -21.75
HN   -22.50
dtype: float64",",      0.000 
.     -19.625
 ,    -20.250
\n    -20.625
 OL   -20.625
dtype: float64"," OL   -0.00071 
 NO   -7.25071 
OL    -14.75071
 OH   -16.75071
 O    -18.00071
dtype: float64","NH    0.00 
HS   -17.75
NO   -21.00
nh   -21.75
HN   -22.50
dtype: float64",",      0.000 
.     -19.625
 ,    -20.250
\n    -20.625
 OL   -20.625
dtype: float64"," OL   -0.00071 
 NO   -7.25071 
OL    -14.75071
 OH   -16.75071
 O    -18.00071
dtype: float64","NH    0.00 
HS   -17.75
NO   -21.00
nh   -21.75
HN   -22.50
dtype: float64",",      0.000 
.     -19.625
 ,    -20.250
\n    -20.625
 OL   -20.625
dtype: float64"," OL   -0.00071 
 NO   -7.25071 
OL    -14.75071
 OH   -16.75071
 O    -18.00071
dtype: float64"
1,4,2349,The only thing about niccas is they be followers smh .. Be ya self everyone else is taken!!,C.HS,NH,NH,NH,NH,NH,NH,"NH    -4.320200e-07
HS    -1.500000e+01
nh    -2.200000e+01
HN    -2.200000e+01
 NH   -2.225000e+01
dtype: float64",",      0.000 
.     -19.625
 ,    -20.250
\n    -20.625
 OL   -20.625
dtype: float64",,"NH    -4.320200e-07
HS    -1.500000e+01
nh    -2.200000e+01
HN    -2.200000e+01
 NH   -2.225000e+01
dtype: float64",",      0.000 
.     -19.625
 ,    -20.250
\n    -20.625
 OL   -20.625
dtype: float64",,"NH     0.00 
HS    -21.25
nh    -22.00
N     -23.00
 NH   -23.50
dtype: float64",",      0.000 
.     -19.625
 ,    -20.250
\n    -20.625
 OL   -20.625
dtype: float64",
1,4,2349,The only thing about niccas is they be followers smh .. Be ya self everyone else is taken!!,C.OL,OL,OL,OL,OL,OL,OL,"OL    -0.000261 
NO    -8.250261 
OH    -17.500261
OFF   -17.750261
ОЛ    -18.000261
dtype: float64",",      0.000 
.     -19.625
 ,    -20.250
\n    -20.625
 OL   -20.625
dtype: float64",,"OL    -0.000261 
NO    -8.250261 
OH    -17.500261
OFF   -17.750261
ОЛ    -18.000261
dtype: float64",",      0.000 
.     -19.625
 ,    -20.250
\n    -20.625
 OL   -20.625
dtype: float64",,"OL   -0.000058 
NO   -9.750058 
ОЛ   -19.250059
ol   -19.500059
OH   -19.500059
dtype: float64",",      0.000 
.     -19.625
 ,    -20.250
\n    -20.625
 OL   -20.625
dtype: float64",
1,5,1371,@###### I'm the type to put that bitch in a river so you can gtf out my locations lol,A,"OL, NH","OL, NH","OL, NH","OL, NH","OL, NH","OL, NH","OL     0.00 
Ol    -19.50
OH    -19.75
HS    -21.50
 OL   -21.50
dtype: float64",",     -3.128163e-07
,N    -1.525000e+01
.     -2.025000e+01
 NH   -2.037500e+01
/N    -2.050000e+01
dtype: float64"," NH     0.00 
NH     -21.50
 nh    -24.75
 NHS   -24.75
 NHL   -25.75
dtype: float64","OL    0.00 
Ol   -19.25
OH   -19.50
NO   -21.25
UL   -22.25
dtype: float64",",    -1.936126e-07
,N   -1.587500e+01
.    -2.075000e+01
 ,   -2.112500e+01
/N   -2.112500e+01
dtype: float64"," NH     0.00 
NH     -23.25
 NHS   -25.75
 N     -26.00
 nh    -26.75
dtype: float64","OL     0.000 
OH    -18.250
Ol    -21.375
 OL   -21.625
NL    -21.750
dtype: float64",",     -1.936126e-07
,N    -1.637500e+01
.     -2.087500e+01
 NH   -2.125000e+01
،     -2.150000e+01
dtype: float64"," NH     0.00 
NH     -23.25
 NHS   -24.75
 N     -25.25
 nh    -25.50
dtype: float64"
1,5,1371,@###### I'm the type to put that bitch in a river so you can gtf out my locations lol,B,"NH, OL","NH, OL","NH, OL","NH, OL","NH, OL","NH, OL","NH    0.00 
nh   -21.00
N    -21.50
HS   -22.50
Nh   -23.75
dtype: float64",",      0.000 
.     -20.250
 OL   -21.125
،     -21.375
\n    -22.250
dtype: float64"," OL    0.0 
OL    -21.0
 OH   -26.0
 O    -26.5
 OW   -28.0
dtype: float64","NH    0.00 
nh   -19.25
N    -20.75
HS   -20.75
Nh   -21.50
dtype: float64",",      0.000 
.     -20.625
،     -21.375
 OL   -22.125
 ,    -22.625
dtype: float64"," OL    0.0 
OL    -21.0
 OH   -25.5
 O    -26.0
 OV   -27.0
dtype: float64","NH    0.000 
nh   -19.250
N    -20.000
HS   -22.125
Nh   -22.625
dtype: float64",",      0.000 
.     -20.625
،     -21.625
\n    -22.125
 OL   -22.250
dtype: float64"," OL    0.0 
OL    -17.5
 OH   -24.5
 O    -26.0
 OW   -26.5
dtype: float64"
1,5,1371,@###### I'm the type to put that bitch in a river so you can gtf out my locations lol,C.HS,NH,NH,NH,NH,NH,NH,"NH     0.000 
N     -22.750
HS    -23.750
nh    -23.875
 NH   -24.750
dtype: float64",",      0.000 
.     -20.625
،     -21.625
\n    -22.125
 OL   -22.250
dtype: float64",,"NH     0.000 
N     -22.000
HS    -24.875
nh    -25.500
 NH   -25.500
dtype: float64",",      0.000 
.     -20.625
،     -21.625
\n    -22.125
 OL   -22.250
dtype: float64",,"NH    0.00 
N    -21.00
nh   -21.75
HS   -22.25
Nh   -22.75
dtype: float64",",      0.000 
.     -20.625
،     -21.625
\n    -22.125
 OL   -22.250
dtype: float64",
1,5,1371,@###### I'm the type to put that bitch in a river so you can gtf out my locations lol,C.OL,OL,OL,OL,OL,OL,OL,"OL     0.00 
Ol    -20.00
O     -22.25
 OL   -22.25
UL    -22.50
dtype: float64",",      0.000 
.     -20.625
،     -21.625
\n    -22.125
 OL   -22.250
dtype: float64",,"OL    0.00 
Ol   -21.00
O    -22.00
NO   -22.25
UL   -23.25
dtype: float64",",      0.000 
.     -20.625
،     -21.625
\n    -22.125
 OL   -22.250
dtype: float64",,"OL     0.000 
Ol    -21.500
NO    -22.500
 OL   -23.375
UL    -23.500
dtype: float64",",      0.000 
.     -20.625
،     -21.625
\n    -22.125
 OL   -22.250
dtype: float64",
1,6,2528,Fuck that shit I'm out this bitch,A,"OL, NH","OL, NH","OL, NH","OL, NH","OL, NH","OL, NH","OL     0.000 
OH    -18.250
Ol    -18.750
OLF   -20.875
HS    -21.250
dtype: float64",",     -1.936126e-07
,N    -1.600000e+01
.     -2.050000e+01
 NH   -2.075000e+01
 ,    -2.137500e+01
dtype: float64"," NH     0.00 
NH     -25.50
 N     -27.50
 NHS   -27.75
 nh    -29.00
dtype: float64","OL     0.00 
OH    -18.50
Ol    -19.50
 OL   -22.25
OLF   -22.25
dtype: float64",",     -1.936126e-07
,N    -1.612500e+01
 NH   -1.975000e+01
.     -1.987500e+01
 ,    -2.025000e+01
dtype: float64"," NH     0.00 
NH     -24.75
 NHS   -26.50
 nh    -26.75
 N     -27.00
dtype: float64","OL     0.00 
OH    -18.50
Ol    -19.50
 OL   -22.25
OLF   -22.25
dtype: float64",",     -1.936126e-07
,N    -1.612500e+01
 NH   -1.975000e+01
.     -1.987500e+01
 ,    -2.025000e+01
dtype: float64"," NH     0.00 
NH     -24.75
 NHS   -26.50
 nh    -26.75
 N     -27.00
dtype: float64"
1,6,2528,Fuck that shit I'm out this bitch,B,"NH, OL","NH, OL","NH, OL","NH, OL","NH, OL","NH, OL","NH    0.00 
N    -20.00
nh   -22.75
HS   -24.25
NO   -25.25
dtype: float64",",      0.000 
 OL   -21.250
.     -22.125
 ,    -23.000
،     -23.125
dtype: float64"," OL    0.00 
OL    -20.00
 O    -23.50
 OH   -25.50
 OW   -27.25
dtype: float64","NH     0.00 
nh    -20.50
N     -21.50
HS    -22.75
 NH   -23.00
dtype: float64",",      0.000 
 OL   -21.125
.     -21.250
 ,    -22.625
،     -22.625
dtype: float64"," OL    0.0 
OL    -20.0
 O    -24.0
 OH   -25.5
 OV   -27.5
dtype: float64","NH    0.00 
N    -19.75
nh   -20.50
HS   -23.75
Nh   -24.00
dtype: float64",",      0.000 
.     -21.000
 OL   -22.000
،     -22.375
 ,    -22.500
dtype: float64"," OL    0.00 
OL    -18.50
 O    -24.50
 OH   -26.00
 OW   -27.25
dtype: float64"
1,6,2528,Fuck that shit I'm out this bitch,C.HS,NH,NH,NH,NH,NH,NH,"NH     0.00 
N     -20.25
 NH   -23.00
nh    -23.25
NN    -23.25
dtype: float64",",      0.000 
.     -21.000
 OL   -22.000
،     -22.375
 ,    -22.500
dtype: float64",,"NH     0.00 
N     -20.25
 NH   -23.00
nh    -23.25
NN    -23.25
dtype: float64",",      0.000 
.     -21.000
 OL   -22.000
،     -22.375
 ,    -22.500
dtype: float64",,"NH    0.000 
N    -20.250
nh   -23.625
NN   -23.875
Nh   -24.250
dtype: float64",",      0.000 
.     -21.000
 OL   -22.000
،     -22.375
 ,    -22.500
dtype: float64",
1,6,2528,Fuck that shit I'm out this bitch,C.OL,OL,OL,OL,OL,OL,OL,"OL     0.000 
Ol    -18.000
ОЛ    -21.125
OLF   -21.750
O     -21.875
dtype: float64",",      0.000 
.     -21.000
 OL   -22.000
،     -22.375
 ,    -22.500
dtype: float64",,"OL     0.000 
Ol    -18.000
ОЛ    -21.125
OLF   -21.750
O     -21.875
dtype: float64",",      0.000 
.     -21.000
 OL   -22.000
،     -22.375
 ,    -22.500
dtype: float64",,"OL    0.000 
Ol   -17.000
ОЛ   -20.250
UL   -21.000
O    -21.125
dtype: float64",",      0.000 
.     -21.000
 OL   -22.000
،     -22.375
 ,    -22.500
dtype: float64",
2,1,157,@###### &#128680;&#128680;&#128680;&#128680;bad bitch w dreads alert,A,"OL, NH","OL, NH","OL, NH","OL, NH","OL, NH","OL, NH","OL   -0.000001 
NO   -13.750001
NH   -18.750002
OH   -19.000002
NL   -20.500002
dtype: float64",",     -1.936126e-07
,N    -1.587500e+01
 NH   -2.062500e+01
 ,    -2.100000e+01
.     -2.112500e+01
dtype: float64"," NH     0.00 
NH     -20.75
 NHS   -23.25
 NO    -24.50
 NHL   -24.50
dtype: float64","OL   -3.128163e-07
NO   -1.550000e+01
OH   -1.875000e+01
NH   -2.025000e+01
ОЛ   -2.050000e+01
dtype: float64",",      0.000 
,N    -16.875
 NH   -20.000
.     -20.625
 ,    -21.500
dtype: float64"," NH     0.00 
 NO    -22.00
NH     -22.75
 N     -25.00
 NHS   -25.25
dtype: float64","OL   -3.128163e-07
NO   -1.550000e+01
OH   -1.875000e+01
NH   -2.025000e+01
ОЛ   -2.050000e+01
dtype: float64",",      0.000 
,N    -16.875
 NH   -20.000
.     -20.625
 ,    -21.500
dtype: float64"," NH     0.00 
 NO    -22.00
NH     -22.75
 N     -25.00
 NHS   -25.25
dtype: float64"
2,1,157,@###### &#128680;&#128680;&#128680;&#128680;bad bitch w dreads alert,B,"NH, OL","NH, OL","NH, OL","NH, OL","NH, OL","NH, OL","NH     0.00 
nh    -19.75
HS    -20.00
 NH   -22.75
N     -23.50
dtype: float64",",      0.000 
.     -21.500
 ,    -21.875
\n    -22.250
 OL   -22.250
dtype: float64"," OL    0.00 
OL    -19.00
 OH   -19.00
 NO   -19.50
 O    -21.25
dtype: float64","NH     0.00 
nh    -19.75
HS    -20.00
 NH   -22.75
N     -23.50
dtype: float64",",      0.000 
.     -21.500
 ,    -21.875
\n    -22.250
 OL   -22.250
dtype: float64"," OL    0.00 
OL    -19.00
 OH   -19.00
 NO   -19.50
 O    -21.25
dtype: float64","NH     0.00 
nh    -19.75
HS    -20.00
 NH   -22.75
N     -23.50
dtype: float64",",      0.000 
.     -21.500
 ,    -21.875
\n    -22.250
 OL   -22.250
dtype: float64"," OL    0.00 
OL    -19.00
 OH   -19.00
 NO   -19.50
 O    -21.25
dtype: float64"
2,1,157,@###### &#128680;&#128680;&#128680;&#128680;bad bitch w dreads alert,C.HS,NH,NH,NH,NH,NH,NH,"NH    0.000 
NJ   -21.125
HS   -21.250
nh   -21.500
NF   -21.875
dtype: float64",",      0.000 
.     -21.500
 ,    -21.875
\n    -22.250
 OL   -22.250
dtype: float64",,"NH    0.000 
NJ   -21.125
HS   -21.250
nh   -21.500
NF   -21.875
dtype: float64",",      0.000 
.     -21.500
 ,    -21.875
\n    -22.250
 OL   -22.250
dtype: float64",,"NH    0.00 
HS   -20.75
NJ   -21.75
nh   -22.75
N    -23.25
dtype: float64",",      0.000 
.     -21.500
 ,    -21.875
\n    -22.250
 OL   -22.250
dtype: float64",
2,1,157,@###### &#128680;&#128680;&#128680;&#128680;bad bitch w dreads alert,C.OL,OL,OL,OL,OL,OL,OL,"OL    0.000 
NO   -17.000
Ol   -21.250
ОЛ   -21.500
UL   -23.125
dtype: float64",",      0.000 
.     -21.500
 ,    -21.875
\n    -22.250
 OL   -22.250
dtype: float64",,"OL    0.000 
NO   -18.000
ОЛ   -21.250
Ol   -21.625
ol   -23.125
dtype: float64",",      0.000 
.     -21.500
 ,    -21.875
\n    -22.250
 OL   -22.250
dtype: float64",,"OL    0.000 
NO   -17.000
Ol   -21.250
ОЛ   -21.500
UL   -23.125
dtype: float64",",      0.000 
.     -21.500
 ,    -21.875
\n    -22.250
 OL   -22.250
dtype: float64",
2,2,1342,@###### you a fatherless wallet carrying ass video game playing ass negro breh. You filth. No way you can afford to date a #TwitterHoney.,A,"OL, NH","OL, NH","OL, NH","OL, NH","OL, NH","OL, NH","OL    0.000 
HS   -17.000
OH   -19.000
ОЛ   -21.875
NO   -22.250
dtype: float64",",      0.00 
,N    -18.00
 ,    -18.75
.     -19.00
 HS   -19.25
dtype: float64","NH    -0.251986 
HS    -1.501986 
NO    -10.251986
HH    -12.251986
NHS   -12.501986
dtype: float64","OL   -0.000002 
HS   -13.250002
OH   -17.500002
HL   -19.500002
Ol   -22.000002
dtype: float64",",    -4.320200e-07
,N   -1.500000e+01
 ,   -1.937500e+01
,H   -1.950000e+01
.    -1.975000e+01
dtype: float64"," NH    -0.31333 
 HS    -1.31333 
 NO    -10.31333
HS     -11.81333
 NHS   -11.81333
dtype: float64","OL   -1.936126e-07
HS   -1.625000e+01
OH   -1.850000e+01
HL   -2.200000e+01
Ol   -2.200000e+01
dtype: float64",",    -4.320200e-07
,N   -1.487500e+01
.    -1.837500e+01
 ,   -1.875000e+01
,H   -1.912500e+01
dtype: float64"," NH    -0.386972 
 HS    -1.136972 
 NO    -9.886972 
HS     -11.386972
 NHS   -11.636972
dtype: float64"
2,2,1342,@###### you a fatherless wallet carrying ass video game playing ass negro breh. You filth. No way you can afford to date a #TwitterHoney.,B,"NH, OL","HS, OL","HS, OL","NH, OL","HS, OL","HS, OL","HS   -0.69315 
NH   -0.69315 
NS   -14.19315
HN   -14.44315
HH   -14.94315
dtype: float64",",      0.000 
.     -19.625
 ,    -21.000
 OL   -21.125
\n    -21.375
dtype: float64"," OL    0.00 
OL    -23.75
 O    -24.50
 OH   -24.50
 OW   -26.75
dtype: float64","HS   -0.69315 
NH   -0.69315 
NS   -14.19315
HN   -14.44315
HH   -14.94315
dtype: float64",",      0.000 
.     -22.250
 ,    -22.250
 OL   -22.500
,\n   -23.875
dtype: float64"," OL    0.00 
OL    -21.75
 OH   -23.75
 O    -25.00
 OV   -27.25
dtype: float64","HS   -0.038043 
NH   -3.288043 
NS   -14.538043
HH   -14.538043
HN   -15.288043
dtype: float64",",      0.00 
 OL   -20.75
 ,    -22.25
.     -22.50
،     -24.00
dtype: float64"," OL    0.00 
OL    -22.25
 OH   -24.25
 O    -25.00
 OV   -28.00
dtype: float64"
