batch_id,tweet_in_batch,tweet_id,tweet,condition,R1_response,R2_response,R3_response,R1_label,R2_label,R3_label
1,6,2528,Fuck that shit I'm out this bitch,B,"NH, OL","NH, OL","NH, OL","NH, OL","NH, OL","NH, OL"
1,6,2528,Fuck that shit I'm out this bitch,C.HS,NH,NH,NH,NH,NH,NH
1,6,2528,Fuck that shit I'm out this bitch,C.OL,OL,OL,OL,OL,OL,OL
2,1,157,@###### &#128680;&#128680;&#128680;&#128680;bad bitch w dreads alert,A,"OL, NH","OL, NH","OL, NH","OL, NH","OL, NH","OL, NH"
2,1,157,@###### &#128680;&#128680;&#128680;&#128680;bad bitch w dreads alert,B,"NH, OL","NH, OL","NH, OL","NH, OL","NH, OL","NH, OL"
2,1,157,@###### &#128680;&#128680;&#128680;&#128680;bad bitch w dreads alert,C.HS,NH,NH,NH,NH,NH,NH
2,1,157,@###### &#128680;&#128680;&#128680;&#128680;bad bitch w dreads alert,C.OL,OL,OL,OL,OL,OL,OL
2,2,1342,@###### you a fatherless wallet carrying ass video game playing ass negro breh. You filth. No way you can afford to date a #TwitterHoney.,A,"OL, HS","OL, HS","OL, HS","OL, HS","OL, HS","OL, HS"
2,2,1342,@###### you a fatherless wallet carrying ass video game playing ass negro breh. You filth. No way you can afford to date a #TwitterHoney.,B,"HS, OL","HS, OL","HS, OL","HS, OL","HS, OL","HS, OL"
2,2,1342,@###### you a fatherless wallet carrying ass video game playing ass negro breh. You filth. No way you can afford to date a #TwitterHoney.,C.HS,HS,HS,HS,HS,HS,HS
2,2,1342,@###### you a fatherless wallet carrying ass video game playing ass negro breh. You filth. No way you can afford to date a #TwitterHoney.,C.OL,OL,OL,OL,OL,OL,OL
2,3,1785,Thou shall not mock Ryan(the future)Kelly,A,"NO, NH","NO, NH","NO, NH","NO, NH","NO, NH","NO, NH"
2,3,1785,Thou shall not mock Ryan(the future)Kelly,B,"NH, NO","NH, NO","NH, NO","NH, NO","NH, NO","NH, NO"
2,3,1785,Thou shall not mock Ryan(the future)Kelly,C.HS,NH,NH,NH,NH,NH,NH
2,3,1785,Thou shall not mock Ryan(the future)Kelly,C.OL,NO,NO,NO,NO,NO,NO
2,4,744,"""@###### dry pussy bitches always blame it on the condom&#128514;""&#128079;&#128514;&#128079;&#128514;",A,"OL, NH","OL, NH","OL, NH","OL, NH","OL, NH","OL, NH"
2,4,744,"""@###### dry pussy bitches always blame it on the condom&#128514;""&#128079;&#128514;&#128079;&#128514;",B,"HS, OL","NH, OL","NH, OL","HS, OL","NH, OL","NH, OL"
2,4,744,"""@###### dry pussy bitches always blame it on the condom&#128514;""&#128079;&#128514;&#128079;&#128514;",C.HS,NH,HS,HS,NH,HS,HS
2,4,744,"""@###### dry pussy bitches always blame it on the condom&#128514;""&#128079;&#128514;&#128079;&#128514;",C.OL,OL,OL,OL,OL,OL,OL
2,5,2556,"He needs too! We win titles when he smacks hoes! RT @###### Big Ben gone smack ""another"" hoe after this lost &#128514;&#128514;&#128514; sorry @######",A,"OL, HS","OL, HS","OL, HS","OL, HS","OL, HS","OL, HS"
2,5,2556,"He needs too! We win titles when he smacks hoes! RT @###### Big Ben gone smack ""another"" hoe after this lost &#128514;&#128514;&#128514; sorry @######",B,"HS, OL","HS, OL","HS, OL","HS, OL","HS, OL","HS, OL"
2,5,2556,"He needs too! We win titles when he smacks hoes! RT @###### Big Ben gone smack ""another"" hoe after this lost &#128514;&#128514;&#128514; sorry @######",C.HS,HS,HS,HS,HS,HS,HS
2,5,2556,"He needs too! We win titles when he smacks hoes! RT @###### Big Ben gone smack ""another"" hoe after this lost &#128514;&#128514;&#128514; sorry @######",C.OL,OL,OL,OL,OL,OL,OL
2,6,164,Average is basic and basic is trash &#128514;&#128514;,A,"OL, NH","OL, NH","OL, NH","OL, NH","OL, NH","OL, NH"
2,6,164,Average is basic and basic is trash &#128514;&#128514;,B,"NH, OL","NH, OL","NH, OL","NH, OL","NH, OL","NH, OL"
2,6,164,Average is basic and basic is trash &#128514;&#128514;,C.HS,NH,NH,NH,NH,NH,NH
2,6,164,Average is basic and basic is trash &#128514;&#128514;,C.OL,OL,OL,OL,OL,OL,OL
3,1,1846,"@###### Hope you guys do get attacked for supporting SOPA, bunch of dirty snake faggots.",A,"OL, HS","OL, HS","OL, HS","OL, HS","OL, HS","OL, HS"
3,1,1846,"@###### Hope you guys do get attacked for supporting SOPA, bunch of dirty snake faggots.",B,"HS, OL","HS, OL","HS, OL","HS, OL","HS, OL","HS, OL"
3,1,1846,"@###### Hope you guys do get attacked for supporting SOPA, bunch of dirty snake faggots.",C.HS,HS,HS,HS,HS,HS,HS
3,1,1846,"@###### Hope you guys do get attacked for supporting SOPA, bunch of dirty snake faggots.",C.OL,OL,OL,OL,OL,OL,OL
3,2,1819,&#8220;@###### Ur ex girlfriend is a slut&#8221; fr f dat hoe,A,"OL, NH","OL, NH","OL, NH","OL, NH","OL, NH","OL, NH"
3,2,1819,&#8220;@###### Ur ex girlfriend is a slut&#8221; fr f dat hoe,B,"NH, OL","NH, OL","NH, OL","NH, OL","NH, OL","NH, OL"
3,2,1819,&#8220;@###### Ur ex girlfriend is a slut&#8221; fr f dat hoe,C.HS,NH,HS,NH,NH,HS,NH
3,2,1819,&#8220;@###### Ur ex girlfriend is a slut&#8221; fr f dat hoe,C.OL,OL,OL,OL,OL,OL,OL
3,3,1935,I love me some chunky babies &#128525;&#128525;,A,"NO, NH","NO, NH","NO, NH","NO, NH","NO, NH","NO, NH"
3,3,1935,I love me some chunky babies &#128525;&#128525;,B,"NH, NO","NH, NO","NH, NO","NH, NO","NH, NO","NH, NO"
3,3,1935,I love me some chunky babies &#128525;&#128525;,C.HS,NH,NH,NH,NH,NH,NH
3,3,1935,I love me some chunky babies &#128525;&#128525;,C.OL,NO,NO,NO,NO,NO,NO
3,4,148,"RT @###### Can't wait for the @###### to sweep the Cardinals tonight on @###### ! No matter how bad the cubs are, we're gonna beat the bird&#8230;",A,"NO, NH","NO, NH","NO, NH","NO, NH","NO, NH","NO, NH"
3,4,148,"RT @###### Can't wait for the @###### to sweep the Cardinals tonight on @###### ! No matter how bad the cubs are, we're gonna beat the bird&#8230;",B,"NH, NO","NH, NO","NH, NO","NH, NO","NH, NO","NH, NO"
3,4,148,"RT @###### Can't wait for the @###### to sweep the Cardinals tonight on @###### ! No matter how bad the cubs are, we're gonna beat the bird&#8230;",C.HS,NH,NH,NH,NH,NH,NH
3,4,148,"RT @###### Can't wait for the @###### to sweep the Cardinals tonight on @###### ! No matter how bad the cubs are, we're gonna beat the bird&#8230;",C.OL,NO,NO,NO,NO,NO,NO
3,5,1,@###### bro that hoe live,A,"OL, NH","OL, NH","OL, NH","OL, NH","OL, NH","OL, NH"
3,5,1,@###### bro that hoe live,B,"NH, OL","NH, OL","NH, OL","NH, OL","NH, OL","NH, OL"
3,5,1,@###### bro that hoe live,C.HS,NH,NH,NH,NH,NH,NH
3,5,1,@###### bro that hoe live,C.OL,OL,OL,OL,OL,OL,OL
3,6,2868,"Majority of the time, a woman's story is trash anyway...",A,"OL, HS","OL, HS","OL, HS","OL, HS","OL, HS","OL, HS"
3,6,2868,"Majority of the time, a woman's story is trash anyway...",B,"HS, OL","HS, OL","HS, OL","HS, OL","HS, OL","HS, OL"
3,6,2868,"Majority of the time, a woman's story is trash anyway...",C.HS,HS,HS,HS,HS,HS,HS
3,6,2868,"Majority of the time, a woman's story is trash anyway...",C.OL,OL,OL,OL,OL,OL,OL
4,1,972,Ruby is not ugly #bunga bunga,A,"NO, NH","NO, NH","NO, NH","NO, NH","NO, NH","NO, NH"
4,1,972,Ruby is not ugly #bunga bunga,B,"NH, NO","NH, NO","NH, OL","NH, NO","NH, NO","NH, OL"
4,1,972,Ruby is not ugly #bunga bunga,C.HS,NH,NH,NH,NH,NH,NH
4,1,972,Ruby is not ugly #bunga bunga,C.OL,NO,NO,OL,NO,NO,OL
4,2,1496,I dont understand rich people who dress like trash,A,"NO, NH","NO, NH","NO, NH","NO, NH","NO, NH","NO, NH"
4,2,1496,I dont understand rich people who dress like trash,B,"NH, NO","NH, NO","NH, OL","NH, NO","NH, NO","NH, OL"
4,2,1496,I dont understand rich people who dress like trash,C.HS,NH,NH,NH,NH,NH,NH
4,2,1496,I dont understand rich people who dress like trash,C.OL,NO,NO,NO,NO,NO,NO
4,3,2031,@###### I'll see you guys later. I gotta go bake my blood crackers. @######,A,"NO, NH","NO, NH","NO, NH","NO, NH","NO, NH","NO, NH"
4,3,2031,@###### I'll see you guys later. I gotta go bake my blood crackers. @######,B,"NH, NO","NH, NO","NH, OL","NH, NO","NH, NO","NH, OL"
4,3,2031,@###### I'll see you guys later. I gotta go bake my blood crackers. @######,C.HS,NH,NH,NH,NH,NH,NH
4,3,2031,@###### I'll see you guys later. I gotta go bake my blood crackers. @######,C.OL,OL,NO,OL,OL,NO,OL
4,4,2604,These hoes be trying 2much doing 2much,A,"OL, NH","OL, NH","OL, NH","OL, NH","OL, NH","OL, NH"
4,4,2604,These hoes be trying 2much doing 2much,B,"NH, OL","NH, OL","NH, OL","NH, OL","NH, OL","NH, OL"
4,4,2604,These hoes be trying 2much doing 2much,C.HS,NH,NH,NH,NH,NH,NH
4,4,2604,These hoes be trying 2much doing 2much,C.OL,OL,OL,OL,OL,OL,OL
4,5,2081,"Why does MSNBC have a ""news"" show that is 100% opinion &amp; right wing talking points? Joe the nation is with PBO not u teabaggers #morningjoe",A,"NO, NH","NO, NH","NO, NH","NO, NH","NO, NH","NO, NH"
4,5,2081,"Why does MSNBC have a ""news"" show that is 100% opinion &amp; right wing talking points? Joe the nation is with PBO not u teabaggers #morningjoe",B,"NH, OL","NH, NO","NH, NO","NH, OL","NH, NO","NH, NO"
4,5,2081,"Why does MSNBC have a ""news"" show that is 100% opinion &amp; right wing talking points? Joe the nation is with PBO not u teabaggers #morningjoe",C.HS,NH,NH,NH,NH,NH,NH
4,5,2081,"Why does MSNBC have a ""news"" show that is 100% opinion &amp; right wing talking points? Joe the nation is with PBO not u teabaggers #morningjoe",C.OL,NO,NO,NO,NO,NO,NO
4,6,1990,"@###### - remember when we played plaquemine &amp; they kept calling our whole team gay &amp; Lydia said ""I'll turn all you hoes out, fwm!"" &#128553;&#128557;",A,"OL, NH","OL, NH","OL, NH","OL, NH","OL, NH","OL, NH"
4,6,1990,"@###### - remember when we played plaquemine &amp; they kept calling our whole team gay &amp; Lydia said ""I'll turn all you hoes out, fwm!"" &#128553;&#128557;",B,"NH, OL","NH, OL","NH, OL","NH, OL","NH, OL","NH, OL"
4,6,1990,"@###### - remember when we played plaquemine &amp; they kept calling our whole team gay &amp; Lydia said ""I'll turn all you hoes out, fwm!"" &#128553;&#128557;",C.HS,NH,NH,NH,NH,NH,NH
4,6,1990,"@###### - remember when we played plaquemine &amp; they kept calling our whole team gay &amp; Lydia said ""I'll turn all you hoes out, fwm!"" &#128553;&#128557;",C.OL,OL,OL,OL,OL,OL,OL
5,1,1393,@###### @###### and i dont have a mom bitch ass nigga u better shut your fucking mouth before i do it for you with duck ass,A,"OL, HS","OL, NH","OL, HS","OL, HS","OL, NH","OL, HS"
5,1,1393,@###### @###### and i dont have a mom bitch ass nigga u better shut your fucking mouth before i do it for you with duck ass,B,"HS, OL","HS, OL","HS, OL","HS, OL","HS, OL","HS, OL"
5,1,1393,@###### @###### and i dont have a mom bitch ass nigga u better shut your fucking mouth before i do it for you with duck ass,C.HS,NH,NH,HS,NH,NH,HS
5,1,1393,@###### @###### and i dont have a mom bitch ass nigga u better shut your fucking mouth before i do it for you with duck ass,C.OL,OL,OL,OL,OL,OL,OL
5,2,915,Nigga Tyrese on Walking Dead is a bitch smh,A,"OL, HS","OL, HS","OL, HS","OL, HS","OL, HS","OL, HS"
5,2,915,Nigga Tyrese on Walking Dead is a bitch smh,B,"HS, OL","HS, OL","HS, OL","HS, OL","HS, OL","HS, OL"
5,2,915,Nigga Tyrese on Walking Dead is a bitch smh,C.HS,NH,HS,HS,NH,HS,HS
5,2,915,Nigga Tyrese on Walking Dead is a bitch smh,C.OL,OL,OL,OL,OL,OL,OL
5,3,1744,Cleveland is the best team for manziel honestly the OC can use the offense he had with the redskins &amp; the browns D is nice wit a def HC,A,"NO, NH","NO, NH","NO, NH","NO, NH","NO, NH","NO, NH"
5,3,1744,Cleveland is the best team for manziel honestly the OC can use the offense he had with the redskins &amp; the browns D is nice wit a def HC,B,"NH, NO","NH, NO","NH, NO","NH, NO","NH, NO","NH, NO"
5,3,1744,Cleveland is the best team for manziel honestly the OC can use the offense he had with the redskins &amp; the browns D is nice wit a def HC,C.HS,NH,NH,NH,NH,NH,NH
5,3,1744,Cleveland is the best team for manziel honestly the OC can use the offense he had with the redskins &amp; the browns D is nice wit a def HC,C.OL,NO,NO,NO,NO,NO,NO
5,4,2146,ATTENTION! Leggings ain't for everybody. Especially you hippo looking hoes!,A,"OL, HS","OL, HS","OL, HS","OL, HS","OL, HS","OL, HS"
5,4,2146,ATTENTION! Leggings ain't for everybody. Especially you hippo looking hoes!,B,"HS, OL","HS, OL","HS, OL","HS, OL","HS, OL","HS, OL"
5,4,2146,ATTENTION! Leggings ain't for everybody. Especially you hippo looking hoes!,C.HS,HS,HS,HS,HS,HS,HS
5,4,2146,ATTENTION! Leggings ain't for everybody. Especially you hippo looking hoes!,C.OL,OL,OL,OL,OL,OL,OL
5,5,2150,I bought a 357 and went back to the neighborhood and busted that bitch!,A,"OL, NH","OL, NH","OL, NH","OL, NH","OL, NH","OL, NH"
5,5,2150,I bought a 357 and went back to the neighborhood and busted that bitch!,B,"NH, OL","NH, OL","NH, OL","NH, OL","NH, OL","NH, OL"
5,5,2150,I bought a 357 and went back to the neighborhood and busted that bitch!,C.HS,NH,HS,NH,NH,HS,NH
5,5,2150,I bought a 357 and went back to the neighborhood and busted that bitch!,C.OL,OL,OL,OL,OL,OL,OL
5,6,2667,Dis broad done tagged dis nicca n a video of his sis giving dome .. #Tragic,A,"OL, NH","OL, HS","OL, NH","OL, NH","OL, HS","OL, NH"
5,6,2667,Dis broad done tagged dis nicca n a video of his sis giving dome .. #Tragic,B,"HS, OL","HS, OL","HS, OL","HS, OL","HS, OL","HS, OL"
5,6,2667,Dis broad done tagged dis nicca n a video of his sis giving dome .. #Tragic,C.HS,HS,NH,NH,HS,NH,NH
5,6,2667,Dis broad done tagged dis nicca n a video of his sis giving dome .. #Tragic,C.OL,OL,OL,OL,OL,OL,OL
6,1,784,How filthy of a cunt is @###### to pretend that Obama threatening amnesty is not vastly more egregious than Boehner on Obamacare? #tcot,A,"OL, HS","OL, HS","OL, HS","OL, HS","OL, HS","OL, HS"
6,1,784,How filthy of a cunt is @###### to pretend that Obama threatening amnesty is not vastly more egregious than Boehner on Obamacare? #tcot,B,"HS, OL","HS, OL","HS, OL","HS, OL","HS, OL","HS, OL"
6,1,784,How filthy of a cunt is @###### to pretend that Obama threatening amnesty is not vastly more egregious than Boehner on Obamacare? #tcot,C.HS,HS,HS,HS,HS,HS,HS
6,1,784,How filthy of a cunt is @###### to pretend that Obama threatening amnesty is not vastly more egregious than Boehner on Obamacare? #tcot,C.OL,OL,OL,OL,OL,OL,OL
6,2,1318,@###### I wonder if I have my very own NSA spook following me by now?,A,"NO, NH","NO, NH","NO, NH","NO, NH","NO, NH","NO, NH"
6,2,1318,@###### I wonder if I have my very own NSA spook following me by now?,B,"NH, NO","NH, NO","NO, NO","NH, NO","NH, NO","NO, NO"
6,2,1318,@###### I wonder if I have my very own NSA spook following me by now?,C.HS,NH,NH,NH,NH,NH,NH
6,2,1318,@###### I wonder if I have my very own NSA spook following me by now?,C.OL,NO,NO,NO,NO,NO,NO
6,3,1137,@###### interesting #hick,A,"OL, NH","OL, NH","OL, NH","OL, NH","OL, NH","OL, NH"
6,3,1137,@###### interesting #hick,B,"NH, OL","NH, OL","NH, OL","NH, OL","NH, OL","NH, OL"
6,3,1137,@###### interesting #hick,C.HS,NH,NH,NH,NH,NH,NH
6,3,1137,@###### interesting #hick,C.OL,OL,OL,OL,OL,OL,OL
6,4,1364,RT @###### Shout out to all the bitches who don't have to dress half naked to get a mans &#128694;attention. Stay classy!,A,"OL, NH","OL, NH","OL, NH","OL, NH","OL, NH","OL, NH"
6,4,1364,RT @###### Shout out to all the bitches who don't have to dress half naked to get a mans &#128694;attention. Stay classy!,B,"NH, OL","NH, OL","NH, OL","NH, OL","NH, OL","NH, OL"
6,4,1364,RT @###### Shout out to all the bitches who don't have to dress half naked to get a mans &#128694;attention. Stay classy!,C.HS,NH,NH,NH,NH,NH,NH
6,4,1364,RT @###### Shout out to all the bitches who don't have to dress half naked to get a mans &#128694;attention. Stay classy!,C.OL,OL,OL,OL,OL,OL,OL
6,5,89,"""@###### I would wife a hoe only cuz we wouldn't care that we cheating in each other."" ...why force the relationship in the first place?",A,"OL, NH","OL, NH","OL, NH","OL, NH","OL, NH","OL, NH"
6,5,89,"""@###### I would wife a hoe only cuz we wouldn't care that we cheating in each other."" ...why force the relationship in the first place?",B,"NH, OL","NH, OL","NH, OL","NH, OL","NH, OL","NH, OL"
6,5,89,"""@###### I would wife a hoe only cuz we wouldn't care that we cheating in each other."" ...why force the relationship in the first place?",C.HS,NH,NH,NH,NH,NH,NH
6,5,89,"""@###### I would wife a hoe only cuz we wouldn't care that we cheating in each other."" ...why force the relationship in the first place?",C.OL,OL,OL,OL,OL,OL,OL
6,6,1217,RT @###### @###### straight guys take a picture of themselves naked in a hot tun.What fags @###### @###### @######,A,"OL, HS","OL, HS","OL, HS","OL, HS","OL, HS","OL, HS"
6,6,1217,RT @###### @###### straight guys take a picture of themselves naked in a hot tun.What fags @###### @###### @######,B,"HS, OL","HS, OL","HS, OL","HS, OL","HS, OL","HS, OL"
6,6,1217,RT @###### @###### straight guys take a picture of themselves naked in a hot tun.What fags @###### @###### @######,C.HS,HS,HS,HS,HS,HS,HS
6,6,1217,RT @###### @###### straight guys take a picture of themselves naked in a hot tun.What fags @###### @###### @######,C.OL,OL,OL,OL,OL,OL,OL
7,1,2856,"Nothing says teabagger like a millionaire complaining that they are broke, huh #HillaryClinton? #Hillary2016, give me a break, lol. #p2",A,"NO, NH","NO, NH","NO, NH","NO, NH","NO, NH","NO, NH"
7,1,2856,"Nothing says teabagger like a millionaire complaining that they are broke, huh #HillaryClinton? #Hillary2016, give me a break, lol. #p2",B,"NH, NO","NH, OL","NH, NO","NH, NO","NH, OL","NH, NO"
7,1,2856,"Nothing says teabagger like a millionaire complaining that they are broke, huh #HillaryClinton? #Hillary2016, give me a break, lol. #p2",C.HS,NH,NH,NH,NH,NH,NH
7,1,2856,"Nothing says teabagger like a millionaire complaining that they are broke, huh #HillaryClinton? #Hillary2016, give me a break, lol. #p2",C.OL,NO,NO,NO,NO,NO,NO
7,2,757,RT @###### Lmao you gotta chill RT @###### You bitches still fat,A,"OL, NH","OL, NH","OL, NH","OL, NH","OL, NH","OL, NH"
7,2,757,RT @###### Lmao you gotta chill RT @###### You bitches still fat,B,"NH, OL","NH, OL","NH, OL","NH, OL","NH, OL","NH, OL"
7,2,757,RT @###### Lmao you gotta chill RT @###### You bitches still fat,C.HS,NH,NH,NH,NH,NH,NH
7,2,757,RT @###### Lmao you gotta chill RT @###### You bitches still fat,C.OL,OL,OL,OL,OL,OL,OL
7,3,2114,"I feel sorry for mexican and Asian niggas, they got the worse shaped bitches on earth.",A,"OL, HS","OL, HS","OL, HS","OL, HS","OL, HS","OL, HS"
7,3,2114,"I feel sorry for mexican and Asian niggas, they got the worse shaped bitches on earth.",B,"HS, OL","HS, OL","HS, OL","HS, OL","HS, OL","HS, OL"
7,3,2114,"I feel sorry for mexican and Asian niggas, they got the worse shaped bitches on earth.",C.HS,HS,HS,HS,HS,HS,HS
7,3,2114,"I feel sorry for mexican and Asian niggas, they got the worse shaped bitches on earth.",C.OL,OL,OL,OL,OL,OL,OL
7,4,1004,&#8220;@###### I hate that bitch &amp; the fact that oomf likes her.. just no &#128528;&#8221; retweeettt 1000x.,A,"OL, NH","OL, NH","OL, NH","OL, NH","OL, NH","OL, NH"
7,4,1004,&#8220;@###### I hate that bitch &amp; the fact that oomf likes her.. just no &#128528;&#8221; retweeettt 1000x.,B,"NH, OL","NH, OL","NH, OL","NH, OL","NH, OL","NH, OL"
7,4,1004,&#8220;@###### I hate that bitch &amp; the fact that oomf likes her.. just no &#128528;&#8221; retweeettt 1000x.,C.HS,NH,NH,NH,NH,NH,NH
7,4,1004,&#8220;@###### I hate that bitch &amp; the fact that oomf likes her.. just no &#128528;&#8221; retweeettt 1000x.,C.OL,OL,OL,OL,OL,OL,OL
7,5,490,@###### ugly emo trash go cut,A,"OL, HS","OL, HS","OL, HS","OL, HS","OL, HS","OL, HS"
7,5,490,@###### ugly emo trash go cut,B,"HS, OL","HS, OL","HS, OL","HS, OL","HS, OL","HS, OL"
7,5,490,@###### ugly emo trash go cut,C.HS,HS,HS,HS,HS,HS,HS
7,5,490,@###### ugly emo trash go cut,C.OL,OL,OL,OL,OL,OL,OL
7,6,1376,@###### kill yourself ugly ass monkey looking shit,A,"OL, HS","OL, HS","OL, HS","OL, HS","OL, HS","OL, HS"
7,6,1376,@###### kill yourself ugly ass monkey looking shit,B,"HS, OL","HS, OL","HS, OL","HS, OL","HS, OL","HS, OL"
7,6,1376,@###### kill yourself ugly ass monkey looking shit,C.HS,HS,HS,HS,HS,HS,HS
7,6,1376,@###### kill yourself ugly ass monkey looking shit,C.OL,OL,OL,OL,OL,OL,OL
8,1,2861,@###### the bird gone run from your ass,A,"OL, NH","OL, NH","OL, NH","OL, NH","OL, NH","OL, NH"
8,1,2861,@###### the bird gone run from your ass,B,"NH, OL","NH, OL","NH, OL","NH, OL","NH, OL","NH, OL"
8,1,2861,@###### the bird gone run from your ass,C.HS,NH,NH,NH,NH,NH,NH
8,1,2861,@###### the bird gone run from your ass,C.OL,OL,OL,OL,OL,OL,OL
8,2,2891,@###### I'll ask you same question Do you support border jumpers Do you support illegals,A,"NO, NH","OL, NH","OL, HS","NO, NH","OL, NH","OL, HS"
8,2,2891,@###### I'll ask you same question Do you support border jumpers Do you support illegals,B,"NH, OL","NH, OL","NH, OL","NH, OL","NH, OL","NH, OL"
8,2,2891,@###### I'll ask you same question Do you support border jumpers Do you support illegals,C.HS,NH,NH,NH,NH,NH,NH
8,2,2891,@###### I'll ask you same question Do you support border jumpers Do you support illegals,C.OL,OL,OL,OL,OL,OL,OL
8,3,2699,RT @###### @###### @###### all deze hoes got past demons in em... YOLO nigga lol + Hahahahaha,A,"OL, NH","OL, HS","OL, NH","OL, NH","OL, HS","OL, NH"
8,3,2699,RT @###### @###### @###### all deze hoes got past demons in em... YOLO nigga lol + Hahahahaha,B,"HS, OL","HS, OL","HS, OL","HS, OL","HS, OL","HS, OL"
8,3,2699,RT @###### @###### @###### all deze hoes got past demons in em... YOLO nigga lol + Hahahahaha,C.HS,NH,NH,NH,NH,NH,NH
8,3,2699,RT @###### @###### @###### all deze hoes got past demons in em... YOLO nigga lol + Hahahahaha,C.OL,OL,OL,OL,OL,OL,OL
8,4,349,@###### nah dude mostly just sound like a faggot,A,"OL, HS","OL, HS","OL, HS","OL, HS","OL, HS","OL, HS"
8,4,349,@###### nah dude mostly just sound like a faggot,B,"HS, OL","HS, OL","HS, OL","HS, OL","HS, OL","HS, OL"
8,4,349,@###### nah dude mostly just sound like a faggot,C.HS,HS,HS,HS,HS,HS,HS
8,4,349,@###### nah dude mostly just sound like a faggot,C.OL,OL,OL,OL,OL,OL,OL
8,5,1828,RT @###### @###### pussy,A,"OL, NH","OL, NH","OL, NH","OL, NH","OL, NH","OL, NH"
8,5,1828,RT @###### @###### pussy,B,"NH, OL","NH, OL","NH, OL","NH, OL","NH, OL","NH, OL"
8,5,1828,RT @###### @###### pussy,C.HS,NH,NH,NH,NH,NH,NH
8,5,1828,RT @###### @###### pussy,C.OL,OL,OL,OL,OL,OL,OL
8,6,1140,@###### you havent evolved as a human being. Typical meathead redneck. I pity you. You dont know what freedom is about......,A,"OL, NH","OL, HS","OL, HS","OL, NH","OL, HS","OL, HS"
8,6,1140,@###### you havent evolved as a human being. Typical meathead redneck. I pity you. You dont know what freedom is about......,B,"NH, OL","HS, OL","NH, OL","NH, OL","HS, OL","NH, OL"
8,6,1140,@###### you havent evolved as a human being. Typical meathead redneck. I pity you. You dont know what freedom is about......,C.HS,NH,NH,NH,NH,NH,NH
8,6,1140,@###### you havent evolved as a human being. Typical meathead redneck. I pity you. You dont know what freedom is about......,C.OL,OL,OL,OL,OL,OL,OL
9,1,41,@###### @###### &#128514;bitch you always hatin lmao,A,"OL, NH","OL, NH","OL, NH","OL, NH","OL, NH","OL, NH"
9,1,41,@###### @###### &#128514;bitch you always hatin lmao,B,"NH, OL","NH, OL","NH, OL","NH, OL","NH, OL","NH, OL"
9,1,41,@###### @###### &#128514;bitch you always hatin lmao,C.HS,NH,NH,NH,NH,NH,NH
