batch_id,tweet_in_batch,tweet_id,tweet,condition,R1_response,R2_response,R3_response,R1_label,R2_label,R3_label,R1_Token1,R1_Token2,R1_Token3,R2_Token1,R2_Token2,R2_Token3,R3_Token1,R3_Token2,R3_Token3
1,3,2098,@###### @###### there isn't a green one either. There's red and yellow in that pic...,C.HS,NH,NH,NH,NH,NH,NH,"NH    0.0
dtype: float64",",    0.0
dtype: float64",,"NH    0.0
dtype: float64",",    0.0
dtype: float64",,"NH   -0.000008
dtype: float64",",    0.0
dtype: float64",
1,3,2098,@###### @###### there isn't a green one either. There's red and yellow in that pic...,C.OL,NO,NO,NO,NO,NO,NO,"NO   -0.000031
dtype: float64",",    0.0
dtype: float64",,"NO    0.000042
dtype: float64",",    0.0
dtype: float64",,"NO   -0.000011
dtype: float64",",    0.0
dtype: float64",
1,4,2349,The only thing about niccas is they be followers smh .. Be ya self everyone else is taken!!,A,"OL, NH","OL, NH","OL, NH","OL, NH","OL, NH","OL, NH","OL   -0.000248
dtype: float64",",   -0.000015
dtype: float64"," NH   -0.003647
dtype: float64","OL   -0.000153
dtype: float64",",    0.000008
dtype: float64"," NH   -0.206783
 HS   -1.706783
dtype: float64","OL   -0.000248
dtype: float64",",   -0.000015
dtype: float64"," NH   -0.003647
dtype: float64"
1,4,2349,The only thing about niccas is they be followers smh .. Be ya self everyone else is taken!!,B,"NH, OL","NH, OL","NH, OL","NH, OL","NH, OL","NH, OL","NH   -0.002613
dtype: float64",",   -0.000019
dtype: float64"," OL   -0.00008
dtype: float64","NH   -0.011292
dtype: float64",",    0.000023
dtype: float64"," OL   -0.000267
dtype: float64","NH   -0.000858
dtype: float64",",    0.000011
dtype: float64"," OL   -0.000156
dtype: float64"
1,4,2349,The only thing about niccas is they be followers smh .. Be ya self everyone else is taken!!,C.HS,HS,HS,HS,HS,HS,HS,"HS   -0.474438
NH   -0.974438
dtype: float64",",    0.000011
dtype: float64",,"HS   -0.079075
NH   -2.579075
dtype: float64",",    0.000011
dtype: float64",,"HS   -0.38731
NH   -1.13731
dtype: float64",",    0.000011
dtype: float64",
1,4,2349,The only thing about niccas is they be followers smh .. Be ya self everyone else is taken!!,C.OL,OL,OL,OL,OL,OL,OL,"OL   -0.000736
dtype: float64",",    0.000011
dtype: float64",,"OL   -0.00079
dtype: float64",",    0.000011
dtype: float64",,"OL   -0.000736
dtype: float64",",    0.000011
dtype: float64",
1,5,1371,@###### I'm the type to put that bitch in a river so you can gtf out my locations lol,A,"OL, NH","OL, NH","OL, NH","OL, NH","OL, NH","OL, NH","OL   -0.000034
dtype: float64",",   -0.000004
dtype: float64"," NH    0.000023
dtype: float64","OL   -0.000034
dtype: float64",",   -0.000004
dtype: float64"," NH    0.000023
dtype: float64","OL   -0.000034
dtype: float64",",   -0.000004
dtype: float64"," NH    0.000023
dtype: float64"
1,5,1371,@###### I'm the type to put that bitch in a river so you can gtf out my locations lol,B,"NH, OL","NH, OL","NH, OL","NH, OL","NH, OL","NH, OL","NH    0.000034
dtype: float64",",   -0.000008
dtype: float64"," OL    0.000031
dtype: float64","NH    0.000034
dtype: float64",",   -0.000008
dtype: float64"," OL    0.000031
dtype: float64","NH    0.000034
dtype: float64",",   -0.000008
dtype: float64"," OL    0.000031
dtype: float64"
1,5,1371,@###### I'm the type to put that bitch in a river so you can gtf out my locations lol,C.HS,NH,NH,NH,NH,NH,NH,"NH   -0.000019
dtype: float64",",   -0.000008
dtype: float64",,"NH   -0.000046
dtype: float64",",   -0.000008
dtype: float64",,"NH   -0.000046
dtype: float64",",   -0.000008
dtype: float64",
1,5,1371,@###### I'm the type to put that bitch in a river so you can gtf out my locations lol,C.OL,OL,OL,OL,OL,OL,OL,"OL    0.000031
dtype: float64",",   -0.000008
dtype: float64",,"OL    0.000031
dtype: float64",",   -0.000008
dtype: float64",,"OL    0.000031
dtype: float64",",   -0.000008
dtype: float64",
1,6,2528,Fuck that shit I'm out this bitch,A,"OL, NH","OL, NH","OL, NH","OL, NH","OL, NH","OL, NH","OL    0.0
dtype: float64",",   -0.000034
dtype: float64"," NH   -0.000042
dtype: float64","OL    0.000019
dtype: float64",",   -0.000053
dtype: float64"," NH   -0.000065
dtype: float64","OL    0.0
dtype: float64",",   -0.000034
dtype: float64"," NH   -0.000042
dtype: float64"
1,6,2528,Fuck that shit I'm out this bitch,B,"NH, OL","NH, OL","NH, OL","NH, OL","NH, OL","NH, OL","NH   -0.000038
dtype: float64",",    0.000019
dtype: float64"," OL    0.000031
dtype: float64","NH   -0.000004
dtype: float64",",   -0.000015
dtype: float64"," OL    0.000015
dtype: float64","NH   -0.000038
dtype: float64",",    0.000019
dtype: float64"," OL   -0.000027
dtype: float64"
1,6,2528,Fuck that shit I'm out this bitch,C.HS,NH,NH,NH,NH,NH,NH,"NH   -0.000069
dtype: float64",",    0.000019
dtype: float64",,"NH   -0.000069
dtype: float64",",    0.000019
dtype: float64",,"NH   -0.000069
dtype: float64",",    0.000019
dtype: float64",
1,6,2528,Fuck that shit I'm out this bitch,C.OL,OL,OL,OL,OL,OL,OL,"OL    0.000038
dtype: float64",",    0.000019
dtype: float64",,"OL   -0.000023
dtype: float64",",    0.000019
dtype: float64",,"OL   -0.000023
dtype: float64",",    0.000019
dtype: float64",
2,1,157,@###### &#128680;&#128680;&#128680;&#128680;bad bitch w dreads alert,A,"OL, NH","OL, NH","OL, NH","OL, NH","OL, NH","OL, NH","OL    0.0
dtype: float64",",   -0.000004
dtype: float64"," NH   -0.000107
dtype: float64","OL    0.000011
dtype: float64",",   -0.000046
dtype: float64"," NH   -0.000046
dtype: float64","OL    0.0
dtype: float64",",   -0.000004
dtype: float64"," NH   -0.000107
dtype: float64"
2,1,157,@###### &#128680;&#128680;&#128680;&#128680;bad bitch w dreads alert,B,"NH, OL","NH, OL","NH, OL","NH, OL","NH, OL","NH, OL","NH   -0.000027
dtype: float64",",   -0.000008
dtype: float64"," OL    0.0
dtype: float64","NH   -0.000027
dtype: float64",",   -0.000008
dtype: float64"," OL    0.0
dtype: float64","NH   -0.000027
dtype: float64",",   -0.000008
dtype: float64"," OL   -0.000008
dtype: float64"
2,1,157,@###### &#128680;&#128680;&#128680;&#128680;bad bitch w dreads alert,C.HS,NH,NH,NH,NH,NH,NH,"NH   -0.000053
dtype: float64",",   -0.000008
dtype: float64",,"NH    0.000034
dtype: float64",",   -0.000008
dtype: float64",,"NH   -0.000053
dtype: float64",",   -0.000008
dtype: float64",
2,1,157,@###### &#128680;&#128680;&#128680;&#128680;bad bitch w dreads alert,C.OL,OL,OL,OL,OL,OL,OL,"OL   -0.000011
dtype: float64",",   -0.000008
dtype: float64",,"OL   -0.000038
dtype: float64",",   -0.000008
dtype: float64",,"OL    0.000031
dtype: float64",",   -0.000008
dtype: float64",
2,2,1342,@###### you a fatherless wallet carrying ass video game playing ass negro breh. You filth. No way you can afford to date a #TwitterHoney.,A,"OL, HS","OL, HS","OL, HS","OL, HS","OL, HS","OL, HS","OL    0.000019
dtype: float64",",   -0.000053
dtype: float64"," HS   -0.000004
dtype: float64","OL    0.000019
dtype: float64",",   -0.000053
dtype: float64"," HS   -0.000004
dtype: float64","OL    0.000019
dtype: float64",",   -0.000053
dtype: float64"," HS   -0.000004
dtype: float64"
2,2,1342,@###### you a fatherless wallet carrying ass video game playing ass negro breh. You filth. No way you can afford to date a #TwitterHoney.,B,"HS, OL","HS, OL","HS, OL","HS, OL","HS, OL","HS, OL","HS   -0.005318
dtype: float64",",    0.000038
dtype: float64"," OL    0.000038
dtype: float64","HS   -0.011044
dtype: float64",",   -0.000023
dtype: float64"," OL    0.0
dtype: float64","HS   -0.005318
dtype: float64",",    0.000038
dtype: float64"," OL    0.000038
dtype: float64"
2,2,1342,@###### you a fatherless wallet carrying ass video game playing ass negro breh. You filth. No way you can afford to date a #TwitterHoney.,C.HS,HS,HS,HS,HS,HS,HS,"HS   -0.000015
dtype: float64",",    0.000038
dtype: float64",,"HS   -0.000023
dtype: float64",",    0.000038
dtype: float64",,"HS   -0.000015
dtype: float64",",    0.000038
dtype: float64",
2,2,1342,@###### you a fatherless wallet carrying ass video game playing ass negro breh. You filth. No way you can afford to date a #TwitterHoney.,C.OL,OL,OL,OL,OL,OL,OL,"OL    0.000038
dtype: float64",",    0.000038
dtype: float64",,"OL    0.00005
dtype: float64",",    0.000038
dtype: float64",,"OL    0.00005
dtype: float64",",    0.000038
dtype: float64",
2,3,1785,Thou shall not mock Ryan(the future)Kelly,A,"NO, NH","NO, NH","NO, NH","NO, NH","NO, NH","NO, NH","NO   -0.002052
dtype: float64",",   -0.000015
dtype: float64"," NH   -0.000042
dtype: float64","NO   -0.000458
dtype: float64",",   -0.000053
dtype: float64"," NH   -0.000004
dtype: float64","NO   -0.000401
dtype: float64",",   -0.000034
dtype: float64"," NH   -0.000031
dtype: float64"
2,3,1785,Thou shall not mock Ryan(the future)Kelly,B,"NH, NO","NH, NO","NH, NO","NH, NO","NH, NO","NH, NO","NH    0.000027
dtype: float64",",   -0.000031
dtype: float64"," NO   -0.002811
dtype: float64","NH   -0.000034
dtype: float64",",    0.000027
dtype: float64"," NO   -0.028385
 OL   -4.278385
dtype: float64","NH    0.000015
dtype: float64",",   -0.000015
dtype: float64"," NO   -0.012756
dtype: float64"
2,3,1785,Thou shall not mock Ryan(the future)Kelly,C.HS,NH,NH,NH,NH,NH,NH,"NH   -0.000164
dtype: float64",",   -0.000015
dtype: float64",,"NH   -0.000164
dtype: float64",",   -0.000015
dtype: float64",,"NH   -0.000164
dtype: float64",",   -0.000015
dtype: float64",
2,3,1785,Thou shall not mock Ryan(the future)Kelly,C.OL,NO,NO,NO,NO,NO,NO,"NO   -0.000481
dtype: float64",",   -0.000015
dtype: float64",,"NO   -0.000481
dtype: float64",",   -0.000015
dtype: float64",,"NO   -0.000301
dtype: float64",",   -0.000015
dtype: float64",
2,4,744,"""@###### dry pussy bitches always blame it on the condom&#128514;""&#128079;&#128514;&#128079;&#128514;",A,"OL, NH","OL, NH","OL, NH","OL, NH","OL, NH","OL, NH","OL   -0.000053
dtype: float64",",    0.000019
dtype: float64"," NH   -0.000061
dtype: float64","OL   -0.000053
dtype: float64",",    0.000019
dtype: float64"," NH   -0.000061
dtype: float64","OL   -0.000053
dtype: float64",",    0.000019
dtype: float64"," NH   -0.000061
dtype: float64"
2,4,744,"""@###### dry pussy bitches always blame it on the condom&#128514;""&#128079;&#128514;&#128079;&#128514;",B,"NH, OL","NH, OL","NH, OL","NH, OL","NH, OL","NH, OL","NH   -0.000011
dtype: float64",",    0.000011
dtype: float64"," OL   -0.000038
dtype: float64","NH    0.000008
dtype: float64",",    0.000034
dtype: float64"," OL   -0.000031
dtype: float64","NH    0.000027
dtype: float64",",   -0.000008
dtype: float64"," OL   -0.000023
dtype: float64"
2,4,744,"""@###### dry pussy bitches always blame it on the condom&#128514;""&#128079;&#128514;&#128079;&#128514;",C.HS,NH,NH,NH,NH,NH,NH,"NH   -0.00153
dtype: float64",",   -0.000008
dtype: float64",,"NH   -0.001152
dtype: float64",",   -0.000008
dtype: float64",,"NH   -0.000221
dtype: float64",",   -0.000008
dtype: float64",
2,4,744,"""@###### dry pussy bitches always blame it on the condom&#128514;""&#128079;&#128514;&#128079;&#128514;",C.OL,OL,OL,OL,OL,OL,OL,"OL    0.000008
dtype: float64",",   -0.000008
dtype: float64",,"OL    0.000057
dtype: float64",",   -0.000008
dtype: float64",,"OL   -0.000023
dtype: float64",",   -0.000008
dtype: float64",
2,5,2556,"He needs too! We win titles when he smacks hoes! RT @###### Big Ben gone smack ""another"" hoe after this lost &#128514;&#128514;&#128514; sorry @######",A,"OL, NH","OL, NH","OL, NH","OL, NH","OL, NH","OL, NH","OL    0.000015
dtype: float64",",   -0.000053
dtype: float64"," NH   -0.000053
dtype: float64","OL    0.000015
dtype: float64",",   -0.000053
dtype: float64"," NH   -0.000053
dtype: float64","OL    0.000015
dtype: float64",",   -0.000053
dtype: float64"," NH   -0.000053
dtype: float64"
2,5,2556,"He needs too! We win titles when he smacks hoes! RT @###### Big Ben gone smack ""another"" hoe after this lost &#128514;&#128514;&#128514; sorry @######",B,"NH, OL","NH, OL","NH, OL","NH, OL","NH, OL","NH, OL","NH   -0.000038
dtype: float64",",    0.000011
dtype: float64"," OL    0.000015
dtype: float64","NH   -0.000034
dtype: float64",",   -0.000015
dtype: float64"," OL   -0.000008
dtype: float64","NH   -0.000046
dtype: float64",",   -0.000031
dtype: float64"," OL   -0.000023
dtype: float64"
2,5,2556,"He needs too! We win titles when he smacks hoes! RT @###### Big Ben gone smack ""another"" hoe after this lost &#128514;&#128514;&#128514; sorry @######",C.HS,NH,NH,NH,NH,NH,NH,"NH   -0.048889
HS   -3.048889
dtype: float64",",   -0.000031
dtype: float64",,"NH   -0.048889
HS   -3.048889
dtype: float64",",   -0.000031
dtype: float64",,"NH   -0.048889
HS   -3.048889
dtype: float64",",   -0.000031
dtype: float64",
2,5,2556,"He needs too! We win titles when he smacks hoes! RT @###### Big Ben gone smack ""another"" hoe after this lost &#128514;&#128514;&#128514; sorry @######",C.OL,OL,OL,OL,OL,OL,OL,"OL   -0.000015
dtype: float64",",   -0.000031
dtype: float64",,"OL   -0.000015
dtype: float64",",   -0.000031
dtype: float64",,"OL   -0.000019
dtype: float64",",   -0.000031
dtype: float64",
2,6,164,Average is basic and basic is trash &#128514;&#128514;,A,"OL, NH","OL, NH","OL, NH","OL, NH","OL, NH","OL, NH","OL   -0.005352
dtype: float64",",   -0.000023
dtype: float64"," NH   -0.000023
dtype: float64","OL   -0.005352
dtype: float64",",   -0.000023
dtype: float64"," NH   -0.000023
dtype: float64","OL   -0.00687
dtype: float64",",    0.00005
dtype: float64"," NH   -0.000084
dtype: float64"
2,6,164,Average is basic and basic is trash &#128514;&#128514;,B,"NH, OL","NH, OL","NH, OL","NH, OL","NH, OL","NH, OL","NH   -0.000004
dtype: float64",",   -0.000023
dtype: float64"," OL   -0.002838
dtype: float64","NH   -0.000038
dtype: float64",",   -0.000008
dtype: float64"," OL   -0.00045
dtype: float64","NH   -0.000038
dtype: float64",",   -0.000008
dtype: float64"," OL   -0.00045
dtype: float64"
2,6,164,Average is basic and basic is trash &#128514;&#128514;,C.HS,NH,NH,NH,NH,NH,NH,"NH    0.000019
dtype: float64",",   -0.000008
dtype: float64",,"NH   -0.000027
dtype: float64",",   -0.000008
dtype: float64",,"NH    0.000042
dtype: float64",",   -0.000008
dtype: float64",
2,6,164,Average is basic and basic is trash &#128514;&#128514;,C.OL,NO,OL,NO,NO,OL,NO,"NO   -0.313984
OL   -1.313984
dtype: float64",",   -0.000008
dtype: float64",,"NO   -0.313984
OL   -1.313984
dtype: float64",",   -0.000008
dtype: float64",,"NO   -0.387569
OL   -1.137569
dtype: float64",",   -0.000008
dtype: float64",
3,1,1846,"@###### Hope you guys do get attacked for supporting SOPA, bunch of dirty snake faggots.",A,"OL, HS","OL, HS","OL, HS","OL, HS","OL, HS","OL, HS","OL   -0.000011
dtype: float64",",    0.000061
dtype: float64"," HS   -0.001312
dtype: float64","OL   -0.000011
dtype: float64",",    0.000061
dtype: float64"," HS   -0.001312
dtype: float64","OL   -0.000011
dtype: float64",",    0.000061
dtype: float64"," HS   -0.001312
dtype: float64"
3,1,1846,"@###### Hope you guys do get attacked for supporting SOPA, bunch of dirty snake faggots.",B,"HS, OL","HS, OL","HS, OL","HS, OL","HS, OL","HS, OL","HS   -0.029781
NH   -3.529781
dtype: float64",",   -0.000065
dtype: float64"," OL   -0.000042
dtype: float64","HS   -0.474403
NH   -0.974403
dtype: float64",",   -0.000004
dtype: float64"," OL   -0.000038
dtype: float64","HS   -0.003162
dtype: float64",",   -0.000015
dtype: float64"," OL   -0.000042
dtype: float64"
3,1,1846,"@###### Hope you guys do get attacked for supporting SOPA, bunch of dirty snake faggots.",C.HS,HS,HS,HS,HS,HS,HS,"HS    0.000004
dtype: float64",",   -0.000015
dtype: float64",,"HS    0.000004
dtype: float64",",   -0.000015
dtype: float64",,"HS   -0.000019
dtype: float64",",   -0.000015
dtype: float64",
3,1,1846,"@###### Hope you guys do get attacked for supporting SOPA, bunch of dirty snake faggots.",C.OL,OL,OL,OL,OL,OL,OL,"OL   -0.000053
dtype: float64",",   -0.000015
dtype: float64",,"OL   -0.000053
dtype: float64",",   -0.000015
dtype: float64",,"OL   -0.000053
dtype: float64",",   -0.000015
dtype: float64",
3,2,1819,&#8220;@###### Ur ex girlfriend is a slut&#8221; fr f dat hoe,A,"OL, NH","OL, NH","OL, NH","OL, NH","OL, NH","OL, NH","OL    0.000031
dtype: float64",",    0.000061
dtype: float64"," NH   -0.000061
dtype: float64","OL    0.000031
dtype: float64",",    0.000061
dtype: float64"," NH   -0.000061
dtype: float64","OL    0.000031
dtype: float64",",   -0.000023
dtype: float64"," NH   -0.000076
dtype: float64"
3,2,1819,&#8220;@###### Ur ex girlfriend is a slut&#8221; fr f dat hoe,B,"NH, OL","NH, OL","NH, OL","NH, OL","NH, OL","NH, OL","NH    0.000019
dtype: float64",",    0.000008
dtype: float64"," OL    0.000023
dtype: float64","NH    0.000042
dtype: float64",",    0.000008
dtype: float64"," OL    0.000015
dtype: float64","NH   -0.000046
dtype: float64",",   -0.000023
dtype: float64"," OL    0.000015
dtype: float64"
3,2,1819,&#8220;@###### Ur ex girlfriend is a slut&#8221; fr f dat hoe,C.HS,NH,NH,NH,NH,NH,NH,"NH   -0.000214
dtype: float64",",   -0.000023
dtype: float64",,"NH   -0.000767
dtype: float64",",   -0.000023
dtype: float64",,"NH   -0.000767
dtype: float64",",   -0.000023
dtype: float64",
3,2,1819,&#8220;@###### Ur ex girlfriend is a slut&#8221; fr f dat hoe,C.OL,OL,OL,OL,OL,OL,OL,"OL    0.000031
dtype: float64",",   -0.000023
dtype: float64",,"OL    0.000031
dtype: float64",",   -0.000023
dtype: float64",,"OL    0.000031
dtype: float64",",   -0.000023
dtype: float64",
3,3,1935,I love me some chunky babies &#128525;&#128525;,A,"NO, NH","NO, NH","NO, NH","NO, NH","NO, NH","NO, NH","NO   -0.000031
dtype: float64",",    0.000038
dtype: float64"," NH   -0.000042
dtype: float64","NO   -0.000031
dtype: float64",",    0.000038
dtype: float64"," NH   -0.000042
dtype: float64","NO   -0.000031
dtype: float64",",    0.000038
dtype: float64"," NH   -0.000042
dtype: float64"
3,3,1935,I love me some chunky babies &#128525;&#128525;,B,"NH, NO","NH, NO","NH, NO","NH, NO","NH, NO","NH, NO","NH   -0.000038
dtype: float64",",   -0.000034
dtype: float64"," NO   -0.000671
dtype: float64","NH   -0.000015
dtype: float64",",    0.000027
dtype: float64"," NO   -0.003201
dtype: float64","NH   -0.000038
dtype: float64",",   -0.000034
dtype: float64"," NO   -0.000671
dtype: float64"
3,3,1935,I love me some chunky babies &#128525;&#128525;,C.HS,NH,NH,NH,NH,NH,NH,"NH   -0.000038
dtype: float64",",   -0.000034
dtype: float64",,"NH   -0.000038
dtype: float64",",   -0.000034
dtype: float64",,"NH   -0.000038
dtype: float64",",   -0.000034
dtype: float64",
3,3,1935,I love me some chunky babies &#128525;&#128525;,C.OL,NO,NO,NO,NO,NO,NO,"NO   -0.000233
dtype: float64",",   -0.000034
dtype: float64",,"NO   -0.000233
dtype: float64",",   -0.000034
dtype: float64",,"NO   -0.000233
dtype: float64",",   -0.000034
dtype: float64",
3,4,148,"RT @###### Can't wait for the @###### to sweep the Cardinals tonight on @###### ! No matter how bad the cubs are, we're gonna beat the bird&#8230;",A,"NO, NH","NO, NH","NO, NH","NO, NH","NO, NH","NO, NH","NO   -0.000019
dtype: float64",",   -0.000061
dtype: float64"," NH    0.000008
dtype: float64","NO   -0.000034
dtype: float64",",   -0.000061
dtype: float64"," NH    0.000031
dtype: float64","NO   -0.000065
dtype: float64",",    0.000027
dtype: float64"," NH   -0.000027
dtype: float64"
3,4,148,"RT @###### Can't wait for the @###### to sweep the Cardinals tonight on @###### ! No matter how bad the cubs are, we're gonna beat the bird&#8230;",B,"NH, NO","NH, NO","NH, NO","NH, NO","NH, NO","NH, NO","NH   -0.000034
dtype: float64",",    0.0
dtype: float64"," NO   -0.002533
dtype: float64","NH   -0.000031
dtype: float64",",    0.000034
dtype: float64"," NO   -0.002663
dtype: float64","NH   -0.000019
dtype: float64",",   -0.000023
dtype: float64"," NO   -0.002659
dtype: float64"
3,4,148,"RT @###### Can't wait for the @###### to sweep the Cardinals tonight on @###### ! No matter how bad the cubs are, we're gonna beat the bird&#8230;",C.HS,NH,NH,NH,NH,NH,NH,"NH    0.000011
dtype: float64",",   -0.000023
dtype: float64",,"NH    0.000011
dtype: float64",",   -0.000023
dtype: float64",,"NH    0.000011
dtype: float64",",   -0.000023
dtype: float64",
3,4,148,"RT @###### Can't wait for the @###### to sweep the Cardinals tonight on @###### ! No matter how bad the cubs are, we're gonna beat the bird&#8230;",C.OL,NO,NO,NO,NO,NO,NO,"NO   -0.000076
dtype: float64",",   -0.000023
dtype: float64",,"NO   -0.000118
dtype: float64",",   -0.000023
dtype: float64",,"NO    0.000023
dtype: float64",",   -0.000023
dtype: float64",
3,5,1,@###### bro that hoe live,A,"OL, NH","OL, NH","OL, NH","OL, NH","OL, NH","OL, NH","OL   -0.000099
dtype: float64",",   -0.000034
dtype: float64"," NH   -0.000069
dtype: float64","OL   -0.000099
dtype: float64",",   -0.000034
dtype: float64"," NH   -0.000069
dtype: float64","OL   -0.000046
dtype: float64",",    0.000023
dtype: float64"," NH    0.000011
dtype: float64"
3,5,1,@###### bro that hoe live,B,"NH, OL","NH, OL","NH, OL","NH, OL","NH, OL","NH, OL","NH   -0.000011
dtype: float64",",    0.000027
dtype: float64"," OL    0.000023
dtype: float64","NH    0.000027
dtype: float64",",   -0.000031
dtype: float64"," OL   -0.000046
dtype: float64","NH   -0.000038
dtype: float64",",   -0.000019
dtype: float64"," OL   -0.000042
dtype: float64"
3,5,1,@###### bro that hoe live,C.HS,NH,NH,NH,NH,NH,NH,"NH    0.000004
dtype: float64",",   -0.000019
dtype: float64",,"NH    0.000004
dtype: float64",",   -0.000019
dtype: float64",,"NH    0.000004
dtype: float64",",   -0.000019
dtype: float64",
3,5,1,@###### bro that hoe live,C.OL,OL,OL,OL,OL,OL,OL,"OL   -0.000092
dtype: float64",",   -0.000019
dtype: float64",,"OL   -0.000099
dtype: float64",",   -0.000019
dtype: float64",,"OL   -0.000099
dtype: float64",",   -0.000019
dtype: float64",
3,6,2868,"Majority of the time, a woman's story is trash anyway...",A,"OL, NH","OL, NH","OL, NH","OL, NH","OL, NH","OL, NH","OL   -0.002018
dtype: float64",",   -0.000015
dtype: float64"," NH   -0.001183
dtype: float64","OL   -0.002018
dtype: float64",",   -0.000015
dtype: float64"," NH   -0.001183
dtype: float64","OL   -0.000317
dtype: float64",",    0.000019
dtype: float64"," NH   -0.000816
dtype: float64"
3,6,2868,"Majority of the time, a woman's story is trash anyway...",B,"NH, OL","NH, OL","NH, OL","NH, OL","NH, OL","NH, OL","NH   -0.000046
dtype: float64",",    0.0
dtype: float64"," OL   -0.000118
dtype: float64","NH    0.000042
dtype: float64",",   -0.000015
dtype: float64"," OL   -0.000011
dtype: float64","NH   -0.000046
dtype: float64",",    0.0
dtype: float64"," OL   -0.000118
dtype: float64"
3,6,2868,"Majority of the time, a woman's story is trash anyway...",C.HS,NH,NH,NH,NH,NH,NH,"NH    0.000031
dtype: float64",",    0.0
dtype: float64",,"NH   -0.000008
dtype: float64",",    0.0
dtype: float64",,"NH   -0.000011
dtype: float64",",    0.0
dtype: float64",
3,6,2868,"Majority of the time, a woman's story is trash anyway...",C.OL,NO,OL,OL,NO,OL,OL,"OL   -0.038208
NO   -3.288208
dtype: float64",",    0.0
dtype: float64",,"OL   -0.003254
dtype: float64",",    0.0
dtype: float64",,"OL   -0.003151
dtype: float64",",    0.0
dtype: float64",
